Ccode,Dcode,SchoolID,ObjectCode,restricted,unrestricted,total,
01,10017,0124172,4100,1287.2,13829.84,15117.04,
01,10017,0124172,4200,1606.65,2900.57,4507.22,
01,10017,0124172,4300,5604.92,13275.77,18880.69,
01,10017,0124172,4400,17711.12,9527.09,27238.21,
01,10017,0124172,4700,0,45977.85,45977.85,
01,10017,0124172,5100,0,0,0,
01,10017,0124172,5200,50,4384.97,4434.97,
01,10017,0124172,5300,0,980,980,
01,10017,0124172,5400,0,11904.87,11904.87,
01,10017,0124172,5500,24.97,27918.91,27943.88,
01,10017,0124172,5600,2343.43,175163.73,177507.16,
01,10017,0124172,5800,68194.84,316961.32,385156.16,
01,10017,0124172,5900,26.95,5445.8,5472.75,
01,10017,0124172,6100-6170,0,0,0,
01,10017,0124172,6200,0,0,0,
01,10017,0124172,6300,0,0,0,
01,10017,0124172,6400,0,0,0,
01,10017,0124172,6500,0,0,0,
01,10017,0124172,6900,0,0,0,
01,10017,0124172,7110-7143,0,0,0,
01,10017,0124172,7211-7213,0,0,0,
01,10017,0124172,7221-7223AO,0,0,0,
01,10017,0124172,7221-7223SE,0,0,0,
01,10017,0124172,7281-7299,3570,-3570,0,
01,10017,0124172,7438,0,440,440,
01,10017,0124172,7439,0,0,0,
01,10017,0124172,7630-7699,0,0,0,
01,10017,0124172,8011,0,0,0,
01,10017,0124172,8012,0,169958,169958,
01,10017,0124172,8015,0,624644.77,624644.77,
01,10017,0124172,8019,0,102,102,
01,10017,0124172,8020-8039,0,0,0,
01,10017,0124172,8040-8079,0,0,0,
01,10017,0124172,8080-8089,0,0,0,
01,10017,0124172,"8091, 8097",0,0,0,
01,10017,0124172,8092,0,0,0,
01,10017,0124172,8096,0,0,0,
01,10017,0124172,"8110, 8260-8299",75887.43,0,75887.43,
01,10017,0124172,"8181, 8182",0,0,0,
01,10017,0124172,8220,0,0,0,
01,10017,0124172,8290,0,0,0,
01,10017,0124172,8930-8979,0,0,0,
01,10017,0124172,8980-8999,0,0,0,
01,10017,0124172,9110,0,0,0,
01,10017,0124172,9111,0,0,0,
01,10017,0124172,9120,0,202775.74,202775.74,
01,10017,0124172,9130,0,0,0,
01,10017,0124172,9135,0,0,0,
01,10017,0124172,9140,0,0,0,
01,10017,0124172,9150,0,0,0,
01,10017,0124172,9200,0,369299.57,369299.57,
01,10017,0124172,9290,0,0,0,
01,10017,0124172,9320,0,0,0,
01,10017,0124172,9330,0,1155.9,1155.9,
01,10017,0124172,9340,0,30000,30000,
01,10017,0124172,9400-9499,0,0,0,
01,10017,0124172,9500,0,47092.71,47092.71,
01,10017,0124172,9590,0,0,0,
01,10017,0124172,9640,0,0,0,
01,10017,0124172,9650,0,0,0,
01,10017,0124172,9660-9669,0,187500,187500,
01,10017,0124172,9711,0,0,0,
01,10017,0124172,9712,0,0,0,
01,10017,0124172,9713,0,0,0,
01,10017,0124172,9719,0,0,0,
01,10017,0124172,9740,0,0,0,
01,10017,0124172,9750,0,0,0,
01,10017,0124172,9760,0,0,0,
01,10017,0124172,9780,0,0,0,
01,10017,0124172,9789,0,0,0,
01,10017,0124172,9790A,0,368638.5,368638.5,
01,10017,0124172,9790M,0,0,0,
01,10017,0124172,9791,0,179434.5,179434.5,
01,10017,0124172,"9793, 9795",0,0,0,
01,10017,0124172,9796,0,0,0,
01,10017,0124172,9797,0,0,0,
01,10017,0124172,LocalRevAO,0,467834.42,467834.42,
01,10017,0124172,StateRevAO,3373.35,168649.55,172022.9,
01,10017,0124172,StateRevSE,86714.71,0,86714.71,
01,10017,0125567,1100,41580.33,482787.19,524367.52,
01,10017,0125567,1200,0,0,0,
01,10017,0125567,1300,40307.01,164923.87,205230.88,
01,10017,0125567,1900,0,0,0,
01,10017,0125567,2100,20922.15,278808.5,299730.65,
01,10017,0125567,2200,0,24333.37,24333.37,
01,10017,0125567,2300,0,0,0,
01,10017,0125567,2400,0,48666.63,48666.63,
01,10017,0125567,2900,7003.8,38979.9,45983.7,
01,10017,0125567,3101-3102,4782.37,43646.47,48428.84,
01,10017,0125567,3201-3202,0,0,0,
01,10017,0125567,3301-3302,2573.64,49198.5,51772.14,
01,10017,0125567,3401-3402,6459.07,65750.97,72210.04,
01,10017,0125567,3501-3502,2133.17,10597.42,12730.59,
01,10017,0125567,3601-3602,1912.95,13304.24,15217.19,
01,10017,0125567,3701-3702,0,0,0,
01,10017,0125567,3751-3752,0,0,0,
01,10017,0125567,3801-3802,0,0,0,
01,10017,0125567,3901-3902,0,0,0,
01,10017,0125567,4100,0,0,0,
01,10017,0125567,4200,0,0,0,
01,10017,0125567,4300,160648.67,3439.9,164088.57,
01,10017,0125567,4400,51730.69,2.02,51732.71,
01,10017,0125567,4700,47288.39,329.79,47618.18,
01,10017,0125567,5100,0,0,0,
01,10017,0125567,5200,0,0,0,
01,10017,0125567,5300,0,0,0,
01,10017,0125567,5400,0,14928.61,14928.61,
01,10017,0125567,5500,0,73529.28,73529.28,
01,10017,0125567,5600,11465.03,52540.04,64005.07,
01,10017,0125567,5800,197351.92,350937.57,548289.49,
01,10017,0125567,5900,1020,2901.92,3921.92,
01,10017,0125567,6100-6170,0,0,0,
01,10017,0125567,6200,0,0,0,
01,10017,0125567,6300,0,0,0,
01,10017,0125567,6400,0,0,0,
01,10017,0125567,6500,0,0,0,
01,10017,0125567,6900,0,0,0,
01,10017,0125567,7110-7143,0,0,0,
01,10017,0125567,7211-7213,0,0,0,
01,10017,0125567,7221-7223AO,0,0,0,
01,10017,0125567,7221-7223SE,0,0,0,
01,10017,0125567,7281-7299,0,0,0,
01,10017,0125567,7438,0,0,0,
01,10017,0125567,7439,0,0,0,
01,10017,0125567,7630-7699,0,0,0,
01,10017,0125567,8011,0,0,0,
01,10017,0125567,8012,0,206828,206828,
01,10017,0125567,8015,0,435566,435566,
01,10017,0125567,8019,0,0,0,
01,10017,0125567,8020-8039,0,0,0,
01,10017,0125567,8040-8079,0,0,0,
01,10017,0125567,8080-8089,0,0,0,
01,10017,0125567,"8091, 8097",0,0,0,
01,10017,0125567,8092,0,0,0,
01,10017,0125567,8096,0,324587,324587,
01,10017,0125567,"8110, 8260-8299",425000,0,425000,
01,10017,0125567,"8181, 8182",0,0,0,
01,10017,0125567,8220,47288.39,0,47288.39,
01,10017,0125567,8290,0,0,0,
01,10017,0125567,8930-8979,0,65315,65315,
01,10017,0125567,8980-8999,0,0,0,
01,10017,0125567,9110,0,0,0,
01,10017,0125567,9111,0,0,0,
01,10017,0125567,9120,0,44624.38,44624.38,
01,10017,0125567,9130,0,0,0,
01,10017,0125567,9135,0,0,0,
01,10017,0125567,9140,0,0,0,
01,10017,0125567,9150,0,0,0,
01,10017,0125567,9200,0,466205.29,466205.29,
01,10017,0125567,9290,0,0,0,
01,10017,0125567,9320,0,0,0,
01,10017,0125567,9330,0,5015.4,5015.4,
01,10017,0125567,9340,0,0,0,
01,10017,0125567,9400-9499,0,0,0,
01,10017,0125567,9500,0,339489.94,339489.94,
01,10017,0125567,9590,0,0,0,
01,10017,0125567,9640,0,80000,80000,
01,10017,0125567,9650,0,0,0,
01,10017,0125567,9660-9669,0,250000,250000,
01,10017,0125567,9711,0,0,0,
01,10017,0125567,9712,0,0,0,
01,10017,0125567,9713,0,0,0,
01,10017,0125567,9719,0,0,0,
01,10017,0125567,9740,0,0,0,
01,10017,0125567,9750,0,0,0,
01,10017,0125567,9760,0,0,0,
01,10017,0125567,9780,0,0,0,
01,10017,0125567,9789,0,0,0,
01,10017,0125567,9790A,0,-153644.87,-153644.87,
01,10017,0125567,9790M,0,0,0,
01,10017,0125567,9791,0,0,0,
01,10017,0125567,"9793, 9795",0,0,0,
01,10017,0125567,9796,0,0,0,
01,10017,0125567,9797,0,0,0,
01,10017,0125567,LocalRevAO,0,383581.53,383581.53,
01,10017,0125567,StateRevAO,7003.8,150083.79,157087.59,
01,10017,0125567,StateRevSE,117887,0,117887,
01,10017,6001788,1100,460072,1119287,1579359,
01,10017,6001788,1200,0,0,0,
01,10017,6001788,1300,0,143100,143100,
01,10017,6001788,1900,0,0,0,
01,10017,6001788,2100,0,0,0,
01,10017,6001788,2200,0,363141,363141,
01,10017,6001788,2300,10099,57227,67326,
01,10017,6001788,2400,0,0,0,
01,10017,6001788,2900,0,0,0,
01,10017,6001788,3101-3102,39836,99748,139584,
01,10017,6001788,3201-3202,1076,36357,37433,
01,10017,6001788,3301-3302,6874,55716,62590,
01,10017,6001788,3401-3402,97746,311459,409205,
01,10017,6001788,3501-3502,3018,21200,24218,
01,10017,6001788,3601-3602,5311,30857,36168,
01,10017,6001788,3701-3702,0,0,0,
01,10017,6001788,3751-3752,0,0,0,
01,10017,6001788,3801-3802,0,0,0,
01,10017,6001788,3901-3902,0,0,0,
01,10017,6001788,4100,0,54719,54719,
01,10017,6001788,4200,0,14,14,
01,10017,6001788,4300,0,113715,113715,
01,10017,6001788,4400,0,6576,6576,
