,school_name,state_name_public_school_latest_available_year,full-time_equivalent_fte_teachers_public_school_2012-13,full-time_equivalent_fte_teachers_public_school_2011-12,full-time_equivalent_fte_teachers_public_school_2010-11,pupil/teacher_ratio_public_school_2012-13,pupil/teacher_ratio_public_school_2011-12,pupil/teacher_ratio_public_school_2010-11,school_id_-_nces_assigned_public_school_latest_available_year
7662,PRESCHOOL GRASP,California,,,,,,,69102613302
7663,PRESCOTT JUNIOR HIGH,California,30.21,30.05,,21.95,21.4,,63795006396
7664,PRESIDENT AVENUE ELEMENTARY,California,22,23,,21.09,21.17,,62271003291
7665,PRESIDIO CHILDREN CENTER,California,,,,,,,63441013488
7666,PRESIDIO MIDDLE,California,49.65,46.5,,23.56,25.33,,63441005657
7667,PRESTON ELEMENTARY,California,19.29,19.57,,28.2,29.54,,63237004997
7668,PRESTWOOD ELEMENTARY,California,19,21.47,,24.42,22.82,,63720006302
7669,PREUSS SCHOOL UCSD,California,37.19,36.46,,22.21,22.41,,63432008303
7670,PRICE (ADELAIDE) ELEMENTARY,California,29.54,33.56,,25.42,26.85,,60261000163
7671,PRICE CHARTER MIDDLE,California,43.5,42.83,,24.64,24.59,,60714000654
7672,PRICE ELEMENTARY,California,32,31.5,,26.13,26.22,,61146001271
7673,PRICE INTERMEDIATE,California,21.25,22.8,,22.45,21.45,,60004507093
7674,PRIDE ACADEMY AT PROSPECT AVENUE,California,24.23,22.73,,23.07,23.23,,63588006143
7675,PRIDE CONTINUATION,California,2.83,3.83,,24.38,9.92,,62181012338
7676,PRIMARY ACADEMY FOR SUCCESS,California,13,12,,22.62,21.83,,62271008029
7677,PRIMARY CHARTER,California,15,16,,21.73,21.13,,60004711425
7678,PRIMARY YEARS ACADEMY,California,6.53,5.83,,34.61,34.65,,63801012698
7679,PRINCETON ELEMENTARY,California,4.5,4.5,,18.67,22,,63162004901
7680,PRINCETON ELEMENTARY COMMUNITY DAY,California,,,,,,,63162010497
7681,PRINCETON HIGH COMMUNITY DAY,California,,,,,,,63162010496
7682,PRINCETON JUNIOR-SENIOR HIGH,California,9,9,,13.11,12,,63162004902
7683,PRINCETON STREET ELEMENTARY,California,32.5,30,,20.31,24.53,,61089002034
7684,PRISK ELEMENTARY,California,24,24.4,,25.79,25.04,,62250002752
7685,PROCTOR ELEMENTARY,California,22.48,24.86,,23.27,20.15,,60780000749
7686,PROCTOR TERRACE ELEMENTARY,California,23.8,22.25,,19.08,20.54,,63581006129
7687,PROGRESSIVE ACADEMY,California,,,,,,,62706008759
7688,PROMENADE ELEMENTARY,California,21,20,,27.71,27.7,,60243009299
7689,PROMISE CHARTER,California,,,,,,,63432010638
7690,PROSPECT EDUCATION CENTER,California,6,7,,18.33,21.29,,60006410704
7691,PROSPECT ELEMENTARY,California,16,16.45,,26.44,25.11,,62865004447
7692,PROSPECT HIGH,California,56.45,57.35,,22.76,22.62,,60723000673
7693,PROSPECT HIGH (CONTINUATION),California,2,2,,25.5,23,,62637010197
7694,PROSPECT HIGH (CONTINUATION),California,7.86,9.06,,15.78,16.89,,62913004497
7695,PROSPECTS HIGH (ALTERNATIVE),California,27.89,31.14,,19.68,14.8,,60285009517
7696,PROVIDENCE,California,10,13,,6.8,8,,69104709258
7697,PROVIDENCIA ELEMENTARY,California,16,15.5,,24.63,25.94,,60645000577
7698,PROVISIONAL ACCELERATED LEARNING ACADEMY,California,7.8,,,36.03,,,63417010364
7699,PRUNEDALE ELEMENTARY,California,23,22.6,,28.48,28.23,,62759004147
7700,PUBLIC SAFETY ACADEMY,California,15.15,13.4,,25.15,29.78,,63417011108
7701,PUBLIC SAFETY ACADEMY,California,14,,,27.57,,,61336013081
7702,PUBLIC SERVICE COMMUNITY AT DIEGO RIVERA LEARNING,California,15.22,19.31,,27.99,15.38,,62271012971
7703,PUC CA ACADEMY FOR LIBERAL STUDIES EARLY COLLEGE H,California,11.8,17,,18.98,17.24,,62271010890
7704,PUC CALIFORNIA ACADEMY FOR LIBERAL STUDIES,California,17,18,,18.53,17.56,,62271008511
7705,PUC COMMUNITY CHARTER EARLY COLLEGE HIGH,California,25.2,25.2,,17.74,17.78,,62271010892
7706,PUC COMMUNITY CHARTER MIDDLE,California,16,16,,21.75,21.56,,62271008027
7707,PUC EARLY COLLEGE ACADEMY FOR LEADERS AND SCHOLARS,California,16.44,12.2,,18.92,19.43,,62271012869
7708,PUC EXCEL CHARTER ACADEMY,California,16.5,16.2,,20.73,20.68,,62271011657
7709,PUC LAKEVIEW CHARTER ACADEMY,California,15,16,,23,21.69,,62271010837
7710,PUC LAKEVIEW CHARTER HIGH,California,18,13,,18.06,13.46,,62271012816
7711,PUC MILAGRO CHARTER,California,12,12,,23.92,23.75,,62271010835
7712,PUC NUEVA ESPERANZA CHARTER ACADEMY,California,14,14,,21.71,23.5,,62271012476
7713,PUC SANTA ROSA CHARTER ACADEMY,California,10,9.1,,21,31.32,,62271012537
7714,PUC TRIUMPH ACADEMY,California,15.83,15,,21.79,22.53,,62271011656
7715,PUC TRIUMPH CHARTER HIGH,California,14,12,,12.29,14.42,,62271012812
7716,PUEBLO,California,9.5,36,,16.95,21.31,,63132005910
7717,PUEBLO DE LOS ANGELES CONTINUATION,California,3.5,3.01,,26.29,27.57,,62271003292
7718,PUEBLO VISTA ELEMENTARY,California,8.2,13,,27.2,19.15,,62664004027
7719,PUENTE CHARTER,California,7,7,,16.43,16.14,,62271010525
7720,PUENTE HILLS HIGH,California,18.5,18.5,,8.86,7.14,,61632509143
7721,PUESTA DEL SOL ELEMENTARY,California,14,14,,30.5,30.86,,64104010133
7722,PULLIAM ELEMENTARY,California,22.08,26.03,,29.62,25.09,,63801006429
7723,PURCHE AVENUE ELEMENTARY,California,23.5,25,,22.3,21.88,,62271003293
7724,PYLE ELEMENTARY,California,25,25,,28.56,27.84,,61455001759
7725,QUAIL GLEN ELEMENTARY,California,23.65,25.9,,25.79,23.51,,61149003503
7726,QUAIL LAKE ENVIRONMENTAL CHARTER,California,25.06,25.06,,23.42,23.5,,63525008474
7727,QUAIL RUN ELEMENTARY,California,47.2,45.1,,22.03,22.06,,63513010760
7728,QUAIL SUMMIT ELEMENTARY,California,23,23.13,,27.09,26.76,,64128009205
7729,QUAIL VALLEY ELEMENTARY,California,28,28.06,,27.82,28.08,,62958007528
7730,QUAIL VALLEY ELEMENTARY,California,21,24,,26.62,23.5,,62454012252
7731,QUAIL VALLEY MIDDLE,California,40.01,37,,24.82,27.05,,63697005084
7732,QUAILWOOD ELEMENTARY,California,16.65,17.98,,21.62,20.36,,61470007722
7733,QUARTZ HILL ELEMENTARY,California,29,35,,28.86,28.09,,64212006892
7734,QUARTZ HILL HIGH,California,120.6,121.1,,26.52,25.98,,60282000206
7735,QUEEN ANNE PLACE ELEMENTARY,California,16,16,,22.75,22.25,,62271003294
7736,QUEST ACADEMY,California,2,2,,11,8,,62025012168
7737,QUEST ACADEMY COMMUNITY DAY,California,1,1,,20,22,,62532012488
7738,QUIMBY OAK MIDDLE,California,39,38.5,,26.59,26.16,,61314001499
7739,QUINCY ELEMENTARY,California,16.17,,,22.26,,,63117004826
7740,QUINCY JONES ELEMENTARY,California,15,14,,23.87,23.57,,62271012667
7741,QUINCY JUNIOR/SENIOR HIGH,California,20.23,,,16.71,,,63117004827
7742,R. D. WHITE ELEMENTARY,California,34,33,,26.24,25.61,,61524001949
7743,R. F. HAZARD ELEMENTARY,California,25,26,,26.12,25.46,,61488001848
7744,R. I. MEYERHOLZ ELEMENTARY,California,30.5,30.78,,24.98,24.11,,61029001141
7745,R. J. NEUTRA,California,26,25,,20.12,21.44,,60798000767
7746,R. K. LLOYDE HIGH,California,12.9,14.4,,26.59,,,60792000760
7747,R. L. STEVENSON ELEMENTARY,California,20,19.5,,28.1,26.92,,60645000579
7748,R. M. MIANO ELEMENTARY,California,33,33,,29.61,30,,62274003483
7749,R. O. HARDIN ELEMENTARY,California,29,28.86,,27.76,26.54,,61734002180
7750,R. PAUL KREY ELEMENTARY,California,39,39,,23.92,23.69,,60591010474
7751,R. REX PARRIS HIGH,California,19.5,19.4,,22.87,24.12,,60282010514
7752,R. ROGER ROWE ELEMENTARY,California,28.6,29.6,,17.13,17.26,,63174004910
7753,R. ROGER ROWE MIDDLE,California,15.75,15.4,,11.43,10.58,,63174004911
7754,R.A.A.M.P. CHARTER ACADEMY,California,4.1,6.1,,33.66,25.41,,60285012407
7755,RACHEL CARSON ELEMENTARY,California,19.06,18.5,,22.14,23.41,,63459005706
7756,RADCLIFF ELEMENTARY,California,19,20,,28.63,25.8,,62949011460
7757,RAFER JOHNSON CHILDRENS CENTER,California,,,,,,,60363000316
7758,RAFER JOHNSON JUNIOR HIGH,California,22.17,22.89,,22.91,20.88,,61980009558
7759,RAFFAELLO PALLA ELEMENTARY,California,33,32,,28.52,29.13,,61605002035
7760,RAI ONLINE CHARTER,California,6.9,7.5,,25.07,20.8,,64071011398
7761,RAIL RANCH ELEMENTARY,California,23.6,29.6,,29.66,25.95,,60002909511
7762,RAIL ROAD FLAT ELEMENTARY,California,3.22,2.82,,19.57,26.95,,60687000629
7763,RAILROAD CANYON ELEMENTARY,California,24.8,25.8,,23.95,22.6,,60002709497
7764,RAILWAY ELEMENTARY,California,32,32,,25.66,24.53,,63018011717
7765,RAINBOW RIDGE ELEMENTARY,California,31,29,,25.71,26.28,,69113510287
7766,RAINBOW SPRINGS,California,,0.25,,,80,,62580012835
7767,RAINCROSS HIGH (CONTINUATION),California,9.1,8.3,,19.01,23.49,,63315003613
7768,RAISIN CITY ELEMENTARY,California,16,15.25,,22,21.97,,63168004904
7769,RALPH A. GATES ELEMENTARY,California,35.54,32.32,,27.1,28.65,,63386005298
7770,RALPH BUNCHE ELEMENTARY,California,17.5,17,,27.2,25.12,,60962000970
7771,RALPH DUNLAP ELEMENTARY,California,23,22.6,,28,25.66,,62871004461
7772,RALPH E. HAWES ELEMENTARY,California,28,27,,25.54,26.63,,61803002218
7773,RALPH EMERSON ELEMENTARY,California,21.5,22,,28.09,27.09,,60645000567
7774,RALPH J. BUNCHE HIGH,California,8.01,9.01,,18.1,22.42,,62805012325
7775,RALPH RICHARDSON CENTER,California,11.01,12.51,,6.54,6.63,,63462005821
7776,RALPH WALDO EMERSON JUNIOR HIGH,California,22.65,22.05,,17.84,18.37,,61062001177
7777,RALPH WALDO EMERSON MIDDLE,California,28,32,,23.04,25.59,,62271002987
7778,RALSTON INTERMEDIATE,California,47.82,42.82,,22.23,23.42,,60453000419
7779,RAMBLEWOOD ELEMENTARY,California,17,16,,25.18,26.31,,61437011452
7780,RAMON ALTERNATIVE CENTER,California,2,4.95,,28,10.91,,62955008562
7781,RAMON C. CORTINES SCHOOL OF VISUAL AND PERFORMING,California,61.84,59.55,,25.86,25.59,,62271012439
7782,RAMON GARZA ELEMENTARY,California,43.27,43.27,,22.6,22.07,,60363009712
7783,RAMON S. TAFOYA ELEMENTARY,California,33.5,31.05,,24.81,26.6,,64308008435
7784,RAMONA,California,31,34,,26.06,22.65,,61668002096
7785,RAMONA COMMUNITY,California,18.77,21.95,,27.38,26.51,,63171008945
7786,RAMONA ELEMENTARY,California,16,21.47,,31.63,23.52,,63171004907
7787,RAMONA ELEMENTARY,California,28.25,31.25,,25.49,23.55,,61692002157
7788,RAMONA ELEMENTARY,California,29.2,30.46,,27.12,24.43,,62847004410
7789,RAMONA ELEMENTARY,California,23,24,,30.13,29.71,,60444000404
7790,RAMONA ELEMENTARY,California,34.93,37.84,,24.96,23.81,,60015310943
7791,RAMONA ELEMENTARY,California,32.5,33,,22.65,22.12,,62271003295
7792,RAMONA ELEMENTARY,California,28,27,,27.64,27.85,,62580011027
7793,RAMONA ELEMENTARY,California,28,27.5,,20.57,20.91,,62922008665
7794,RAMONA HEAD START/STATE PRESCHOOL,California,,,,,,,62769013602
7795,RAMONA HIGH,California,82,83.9,,26.21,26.11,,63315005157
7796,RAMONA HIGH,California,65.3,69.4,,26.52,26.76,,63171004908
7797,RAMONA JUNIOR HIGH,California,28.25,30.4,,23.82,24.34,,60846000846
7798,RAMONA MIDDLE,California,49.2,49,,27.2,27.41,,60561000513
7799,RAMONA OPPORTUNITY HIGH,California,9.5,8.34,,10.11,14.03,,62271003296
7800,RAMONA-ALESSANDRO ELEMENTARY,California,23,26,,30.48,26.38,,63417005379
7801,RANCH HILLS ELEMENTARY,California,20,19.5,,26,26.26,,63132010001
7802,RANCH VIEW ELEMENTARY,California,23,23,,28.96,28.83,,62622010302
7803,RANCHERIA CONTINUATION,California,,,,,,,60273000200
7804,RANCHERO MIDDLE,California,45.01,42,,21.91,25.17,,60001409676
7805,RANCHITO AVENUE ELEMENTARY,California,23,22,,23.78,24.32,,62271003297
7806,RANCHO ALAMITOS HIGH,California,74.36,75.14,,26.18,26.51,,61488001874
7807,RANCHO BERNARDO HIGH,California,73.9,76.42,,30.47,29.67,,63153010004
7808,RANCHO BUENA VISTA HIGH,California,108,114.55,,24.06,24.31,,64119009203
7809,RANCHO CANADA ELEMENTARY,California,26.1,26.8,,26.78,27.09,,63386005311
7810,RANCHO CORDOVA ELEMENTARY,California,17.7,17.7,,22.66,22.94,,61389001578
7811,RANCHO COTATE HIGH,California,67.7,61.05,,22.29,24.41,,60994001081
7812,RANCHO CUCAMONGA HIGH,California,117.95,107.68,,29.11,30.14,,60816001122
7813,RANCHO CUCAMONGA MIDDLE,California,38.5,37.5,,21.35,23.71,,61630001112
7814,RANCHO DE LA NACION,California,22.5,23,,22.98,21.74,,62667009590
7815,RANCHO DEL MAR HIGH (CONTINUATION),California,4.6,4.85,,16.52,16.08,,62970008173
7816,RANCHO DEL REY MIDDLE,California,63.61,59.8,,26.9,26.47,,63864007348
7817,RANCHO DOMINGUEZ PREPARATORY,California,49.84,48.51,,24.74,22.76,,62271012898
7818,RANCHO ELEMENTARY,California,17,16.01,,27.65,28.92,,62025002442
7819,RANCHO ELEMENTARY,California,24.7,24.7,,20.65,18.95,,62772004194
7820,RANCHO ELEMENTARY,California,19.5,22.5,,27.18,25.07,,60002809503
7821,RANCHO LAS POSITAS ELEMENTARY,California,24,23,,21.67,22.48,,62211002632
7822,RANCHO LEARNING CENTER (ALTERNATIVE),California,3.1,2.6,,18.06,18.08,,60297009302
7823,RANCHO MEDANOS JUNIOR HIGH,California,45.36,55.59,,18.5,21.14,,63060004743
7824,RANCHO MILPITAS MIDDLE,California,32.4,31.6,,23.24,23.04,,62450003670
7825,RANCHO MINERVA MIDDLE,California,43.2,42.17,,21.76,21.94,,64119006819
7826,RANCHO MIRAGE ELEMENTARY,California,17,17,,26.47,27.47,,62955004570
7827,RANCHO MIRAGE HIGH,California,,,,,,,62955013149
7828,RANCHO PICO JUNIOR HIGH,California,41,41.5,,24.93,24.34,,64251010913
7829,RANCHO ROMERO ELEMENTARY,California,24.01,23.08,,22.12,23.18,,63513005956
7830,RANCHO ROSAL ELEMENTARY,California,28.4,28.61,,22.29,22.54,,63099011831
7831,RANCHO SAN DIEGO ELEMENTARY,California,23,22,,24.78,24.91,,60681008802
7832,RANCHO SAN JOAQUIN MIDDLE,California,29.2,28.3,,29.73,30.04,,68450007062
7833,RANCHO SAN JUSTO,California,23.05,24.05,,23.38,24.91,,61734002181
7834,RANCHO SANTA GERTRUDES ELEMENTARY,California,16,19,,28.75,25,,62289003502
7835,RANCHO SANTA MARGARITA INTERMEDIATE,California,55.01,55.6,,27.54,27.99,,63386002404
7836,RANCHO TEHAMA ELEMENTARY,California,4.1,3.2,,20,19.69,,60978004178
7837,RANCHO VERDE ELEMENTARY,California,29,29,,26,25.21,,60001709101
7838,RANCHO VERDE HIGH,California,118.11,119.36,,27.74,27.09,,69113510283
7839,RANCHO VIEJO MIDDLE,California,47,48.4,,27.13,27.64,,61692012275
7840,RANCHO VISTA ELEMENTARY,California,17,18,,24.94,24.06,,62970004619
7841,RANCHO VISTA ELEMENTARY,California,21,30,,28.57,26.13,,64212009655
7842,RANCHO VISTA HIGH,California,14.62,13.44,,15.6,14.58,,60002809500
7843,RANCHO-STARBUCK INTERMEDIATE,California,26.1,26.2,,29.31,27.67,,62301003512
7844,RANCHOS MIDDLE,California,12.01,11.84,,24.9,26.69,,60006810543
7845,RAND ELEMENTARY,California,1,1,,10,8,,63680006240
7846,RANDALL PEPPER ELEMENTARY,California,25.67,26.83,,28.55,27.88,,61392001600
7847,RARE EARTH HIGH (CONTINUATION),California,2,3.5,,36,20,,63762006372
7848,RAY WILTSEY MIDDLE,California,43.11,36.67,,17.98,19.91,,62847004400
7849,RAYMOND A. VILLA FUNDAMENTAL INTERMEDIATE,California,41.83,47.86,,33.25,29.23,,63531007596
7850,RAYMOND AVENUE ELEMENTARY,California,22,23,,23,24.26,,62271003298
7851,RAYMOND CASE ELEMENTARY,California,33,33,,24.09,24.91,,61233008572
7852,RAYMOND CREE MIDDLE,California,38.5,37.5,,25.74,25.95,,62955004564
7853,RAYMOND ELEMENTARY,California,19,18,,25.58,26,,61473001802
7854,RAYMOND GRANITE HIGH,California,1,1,,2,1,,60016009210
7855,RAYMOND J. FISHER MIDDLE,California,48.04,50.68,,23.81,21.07,,62283003495
7856,RAYMOND TEMPLE ELEMENTARY,California,20,21,,25.45,23.24,,60807000781
7857,RAYMOND-KNOWLES COMMUNITY DAY,California,,1,,,1,,63192010540
7858,RAYMOND-KNOWLES ELEMENTARY,California,5,4,,16.4,17.75,,63192004918
7859,REACH,California,6.02,6,,21.93,10.17,,63618012469
7860,REACH ACADEMY,California,13.01,12.01,,26.06,25.98,,62805011556
7861,REACH LEADERSHIP ACADEMY,California,5,,,22.2,,,63315013116
7862,READY SPRINGS ELEMENTARY,California,8.75,9,,22.74,22.56,,63195004919
7863,READY SPRINGS SPECIAL EDUCATION PRESCHOOL,California,,,,,,,63195013364
7864,REAGAN ELEMENTARY,California,16,17,,24,25.29,,62187012687
7865,REAGAN ELEMENTARY,California,19,20,,27.89,26,,60903011587
7866,REALM CHARTER HIGH,California,8,4.5,,24.13,18,,60474012715
7867,REALM CHARTER MIDDLE,California,9.5,5,,21.26,18.8,,60474012792
7868,REBOUND,California,1,1,,9,11,,63201007465
7869,RECHE CANYON ELEMENTARY,California,31,29,,21.94,22.48,,60939009352
7870,RED BANK ELEMENTARY,California,25,27,,30.16,27.07,,60903009762
7871,RED BLUFF COMMUNITY DAY,California,1,1,,8,4,,63198007464
7872,RED BLUFF COMMUNITY DAY K-5,California,1,1,,6,3,,63198012681
7873,RED BLUFF HIGH,California,69.06,72.81,,20.13,19.75,,63201004923
7874,RED BLUFF INDEPENDENT STUDY HIGH,California,4,4,,28.75,38.5,,63201008659
7875,RED HAWK ELEMENTARY,California,18.5,22.5,,25.62,21.24,,60002810282
7876,RED HILL ELEMENTARY,California,17.2,19,,30.81,27.32,,64015008756
7877,RED OAK ELEMENTARY,California,20,20,,28.15,26.3,,62785002854
7878,RED RIVER COMMUNITY DAY,California,,,,,,,64230008713
7879,REDDING (RAY) HIGH (CONTINUATION),California,0.8,0.8,,13.75,7.5,,61911010309
7880,REDDING COMMUNITY DAY,California,1,2,,11,9,,63204008385
7881,REDDING ELEMENTARY,California,15,15,,19.8,21,,63441005659
7882,REDDING SCHOOL OF THE ARTS II,California,23.88,24.1,,22.4,21.78,,61495012118
7883,REDLANDS EACADEMY,California,,,,,,,63207013458
7884,REDLANDS EAST VALLEY HIGH,California,88.95,99.2,,25.5,24.3,,63207007268
7885,REDLANDS SENIOR HIGH,California,96.64,100.24,,24.75,25.51,,63207004946
7886,REDONDO BEACH LEARNING ACADEMY,California,1.1,1,,11.82,16,,60003212165
7887,REDONDO SHORES HIGH (CONTINUATION),California,4.8,5.4,,19.38,18.33,,60003202227
7888,REDONDO UNION HIGH,California,102.51,103.5,,24.79,24.14,,60003206330
7889,REDWAY ELEMENTARY,California,12,11,,24.83,27.36,,63759006368
7890,REDWOOD ACADEMY OF UKIAH,California,8.62,8.05,,17.87,18.51,,64030008520
7891,REDWOOD COAST MONTESSORI,California,,,,,,,60300013192
7892,REDWOOD CONSORTIUM FOR STUDENT SERVICES,California,10,9,,10.6,11.56,,63264012471
7893,REDWOOD CONTINUATION HIGH,California,9,9.7,,15.11,15.46,,60780000744
7894,REDWOOD ELEMENTARY,California,22.58,24.59,,28.96,27.33,,61392001601
7895,REDWOOD ELEMENTARY,California,25.25,26.23,,17.82,16.09,,61407001614
7896,REDWOOD ELEMENTARY,California,21,21,,22.43,23.95,,61077001198
7897,REDWOOD ELEMENTARY,California,40,42.28,,26.53,24.15,,62145009564
7898,REDWOOD HEIGHTS ELEMENTARY,California,16,14,,23.44,24.71,,62805004310
7899,REDWOOD HIGH,California,81.28,76.82,,24.89,26.14,,64116006803
7900,REDWOOD HIGH,California,82.27,78.2,,18.66,18.62,,63879006523
7901,REDWOOD HIGH,California,14.2,15.2,,22.04,22.37,,63639006196
7902,REDWOOD HIGH (CONTINUATION),California,,,,,,,60966508216
7903,REDWOOD MIDDLE,California,40.85,43.07,,20.98,20.2,,63591006150
7904,REDWOOD MIDDLE,California,41.62,44.63,,25.18,24.33,,60964001022
7905,REDWOOD MIDDLE,California,42.5,42.93,,23.32,23.27,,62664004028
7906,REDWOOD PREPARATORY CHARTER,California,,4.5,,,22.44,,63333012857
7907,REDWOOD PREPARATORY CHARTER,California,,,,,,,60142012857
7908,REDWOOD SHORES ELEMENTARY,California,20.25,15.5,,21.04,22.39,,60453012574
7909,REED ELEMENTARY,California,21.4,21.4,,23.97,23.22,,63459005734
7910,REED ELEMENTARY,California,26.33,26.24,,20.36,19.32,,63216004976
7911,REEDLEY HIGH,California,75.98,78.46,,25.56,24.53,,61970002374
7912,REEDLEY MIDDLE COLLEGE HIGH,California,2.6,,,7.69,,,61970013141
7913,REEDS CREEK ELEMENTARY,California,4.5,6,,26.22,23,,63225004979
7914,REEF SUNSET MIDDLE,California,21.5,18.87,,17.81,17.65,,63227010227
7915,REEF-SUNSET PRIMARY COMMUNITY DAY,California,1,1,,3,4,,63227008000
7916,REEF-SUNSET SECONDARY COMMUNITY DAY,California,1,1,,7,8,,63227007999
7917,REEMS (ERNESTINE C.) ACADEMY OF TECHNOLOGY AND ART,California,18,20,,17.61,17.95,,62805007941
7918,REFUGIO HIGH,California,2,1.6,,11.5,16.88,,63585007361
7919,REGENCY PARK ELEMENTARY,California,31.5,32,,27.46,27.06,,60133211730
7920,REGINALD M. BENTON MIDDLE,California,26.21,27.4,,23.66,21.82,,62769002165
7921,REID HIGH,California,10,14.6,,34,27.12,,62250002753
7922,REIDY CREEK ELEMENTARY,California,28,29,,24.93,24.1,,61288011130
7923,RENAISSANCE,California,1,0.5,,16,32,,60582007095
7924,RENAISSANCE ACADEMY,California,11.7,11.5,,24.53,25.04,,60231011446
7925,RENAISSANCE ARTS ACADEMY,California,7.99,5,,43.68,65.8,,62271011314
7926,RENAISSANCE AT MATHSON,California,5.75,,,17.22,,,60231013126
7927,RENAISSANCE COMMUNITY DAY,California,23,23,,11.3,11.87,,69107808010
7928,RENAISSANCE COURT,California,1,1,,15,9,,69101407934
7929,RENAISSANCE HIGH,California,5.5,5.5,,21.09,20.91,,63576006113
7930,RENAISSANCE HIGH CONTINUATION,California,15,16,,13.27,11,,62949004548
7931,RENAISSANCE HIGH SCHOOL FOR THE ARTS,California,16.85,18.95,,29.32,25.7,,62250008720
7932,RENDER CONTINUATION HIGH,California,,,,,,,60001109064
7933,RENU HOPE PRESCHOOL,California,,,,,,,60384013269
7934,REPETTO ELEMENTARY,California,31.67,32.84,,26.37,24.33,,60015310944
7935,RESCUE ELEMENTARY,California,15.26,17.43,,25.43,22.95,,63231004984
7936,RESEDA ELEMENTARY,California,18,19,,22.61,22.05,,62271003300
7937,RESEDA SENIOR HIGH,California,77.84,79.62,,23.78,24.64,,62271003301
7938,RESNIK CAMP,California,,,,,,,69107812714
7939,REVERE (PAUL) ELEMENTARY,California,37.25,37.75,,24.4,24.95,,60261000164
7940,REVERE (PAUL) ELEMENTARY,California,28.73,32,,14.65,13.38,,63441005654
7941,REWARD MINE COMMUNITY DAY,California,,,,,,,62682008748
7942,REYBURN INTERMEDIATE,California,44.05,45.87,,25.43,23.63,,60903007961
7943,REYMOUTH SPECIAL EDUCATION CENTER,California,,,,,,,61389008576
7944,REYNOLDS ELEMENTARY,California,24.25,24.75,,25.81,25.01,,62825009169
7945,RFK COMMUNITY SCHOOLS - AMBASSADOR SCHOOL - GLOBAL,California,18,17,,21.89,22.12,,62271012566
7946,RFK COMMUNITY SCHOOLS- FOR THE VISUAL ARTS AND HUM,California,20.25,23.04,,21.23,18.88,,62271012370
7947,RFK COMMUNITY SCHOOLS-AMBASSADOR-GLOBAL LEADERSHIP,California,26.75,24.52,,25.57,27.04,,62271012559
7948,RFK COMMUNITY SCHOOLS-LOS ANGELES HIGH SCHOOL OF T,California,23.25,22.17,,17.68,18.58,,62271012270
7949,RFK COMMUNITY SCHOOLS-NEW OPEN WORLD ACADEMY K-12,California,49.5,52,,21.9,19.81,,62271012493
7950,RFK COMMUNITY SCHOOLS-UCLA COMMUNITY K-12,California,39,39.03,,25.03,25.06,,62271012524
7951,RHODA MAXWELL ELEMENTARY,California,23.87,22.37,,20.99,22.35,,64308007007
7952,RIALTO COMMUNITY DAY,California,1,1,,13,19,,63237011327
7953,RIALTO HIGH,California,133.89,133.31,,22.53,22.2,,63237001126
7954,RIALTO MIDDLE,California,62.4,62.66,,19.12,19.74,,63237004998
7955,RICARDO LIZARRAGA ELEMENTARY,California,30.5,29.01,,23.84,24.75,,62271010881
7956,RICE (ELDRIDGE) ELEMENTARY,California,23.5,24,,24.68,24.63,,61494001893
7957,RICE (LILIAN J.) ELEMENTARY,California,35,35.5,,19.6,21.32,,60861000873
7958,RICE (WILLIAM) ELEMENTARY,California,31,30,,27.97,27.17,,60558009321
7959,RICE CANYON ELEMENTARY,California,37.5,38,,23.84,23.21,,60002710352
7960,RICHARD A. ALONZO COMMUNITY DAY,California,13,12.69,,15.23,17.26,,62271010842
7961,RICHARD B. HAYDOCK INTERMEDIATE,California,34.33,41.8,,22.6,17.78,,62922007922
7962,RICHARD BARD ELEMENTARY,California,25,26,,28.16,26.81,,61785002197
7963,RICHARD E. BYRD MIDDLE,California,62.5,66.52,,26.59,25.32,,62271002878
7964,RICHARD H. LEWIS ALTERNATIVE,California,2.15,2.15,,24.65,24.19,,62007003176
7965,RICHARD HAYNES ELEMENTARY,California,32.1,32.96,,27.07,26.91,,62847004392
7966,RICHARD HENRY DANA ELEMENTARY,California,13.38,13.9,,27.35,27.27,,60744000699
7967,RICHARD HENRY DANA EXCEPTIONAL NEEDS,California,4.95,4.95,,8.28,9.7,,60744008543
7968,RICHARD HENRY DANA MIDDLE,California,35.61,37.6,,27.04,25.85,,64299006993
7969,RICHARD HENRY DANA MIDDLE,California,57.33,62.52,,26.09,24.46,,62271002947
7970,RICHARD HENRY DANA MIDDLE,California,29.45,31.2,,26.72,25.16,,60297000227
7971,RICHARD HENRY LEE ELEMENTARY,California,25,26,,26.8,25.38,,62259000794
7972,RICHARD L. GRAVES MIDDLE,California,27.4,28,,26.79,26.75,,63756006361
7973,RICHARD M. MOON PRIMARY,California,17.5,15,,28.8,24.07,,60006312220
7974,RICHARD RIORDAN PRIMARY CENTER,California,11,12,,22.73,21.42,,62271011310
7975,RICHARDSON PREP HI,California,25,25,,23.88,24.32,,63417005380
7976,RICHFIELD ELEMENTARY,California,9.6,10.4,,25.94,22.21,,63240005000
7977,RICHGROVE ELEMENTARY,California,34.84,34.5,,19.66,21.13,,63243011376
7978,RICHLAND AVENUE ELEMENTARY,California,12,12,,19.08,21.83,,62271003305
7979,RICHLAND CONTINUATION HIGH,California,16.58,17.42,,21.53,19.58,,62865004448
