,school_name,state_name_public_school_latest_available_year,full-time_equivalent_fte_teachers_public_school_2012-13,full-time_equivalent_fte_teachers_public_school_2011-12,full-time_equivalent_fte_teachers_public_school_2010-11,pupil/teacher_ratio_public_school_2012-13,pupil/teacher_ratio_public_school_2011-12,pupil/teacher_ratio_public_school_2010-11,school_id_-_nces_assigned_public_school_latest_available_year
150,ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIE,California,18.86,10,,17.66,25.9,,64251012655
151,ALBERT EINSTEIN CONTINUATION,California,3,4.01,,29.67,26.93,,62271002976
152,ALBERT EINSTEIN MIDDLE,California,28.7,18,,25.02,40.89,,63384005219
153,ALBERT F. BIELLA ELEMENTARY,California,26.84,25.14,,17.59,19.29,,63581009635
154,ALBERT POWELL CONTINUATION,California,11.5,11.9,,21.3,17.31,,64347007028
155,ALBERT SCHWEITZER ELEMENTARY,California,14.02,16,,25.46,24.13,,63462005818
156,ALBERT SCHWEITZER ELEMENTARY,California,27,28,,24.89,24.21,,62343003564
157,ALBERTA MARTONE ELEMENTARY,California,29,33,,25.69,22.58,,62513009156
158,ALBION ELEMENTARY,California,1,1,,24,15,,62448008196
159,ALBION STREET ELEMENTARY,California,13,16.01,,22.38,21.86,,62271002803
160,ALCOTT ELEMENTARY,California,35.5,38.83,,27.01,24.39,,63132004834
161,ALCOTT ELEMENTARY,California,33.37,33.56,,27.06,25.63,,63315005130
162,ALCOTT ELEMENTARY,California,10.8,11.8,,18.15,15.93,,63432005408
163,ALDAMA ELEMENTARY,California,27,29,,24.07,23.24,,62271002804
164,ALDER CREEK MIDDLE,California,26.5,28.2,,20.53,19.01,,63877011005
165,ALDER GROVE CHARTER,California,11.79,10.99,,26.21,21.66,,63735011593
166,ALDER MIDDLE,California,66.12,65.43,,19.04,19.7,,61392001585
167,ALDERWOOD ELEMENTARY,California,26,27,,30.85,30.78,,68450007373
168,ALESSANDRO,California,9.05,9.05,,8.84,7.85,,62580011025
169,ALESSANDRO HIGH,California,20.05,19.6,,26.53,24.59,,61692002149
