School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year
CAMPUS PARK ELEMENTARY,California,CA ,Campus Park Elementary,62217002637
CANALINO ELEMENTARY,California,CA ,Canalino Elementary,60756000725
CANFIELD AVENUE ELEMENTARY,California,CA ,Canfield Avenue Elementary,62271002888
CANOAS ELEMENTARY,California,CA ,Canoas Elementary,63459008634
CANOGA PARK ELEMENTARY,California,CA ,Canoga Park Elementary,62271002889
CANOGA PARK SENIOR HIGH,California,CA ,Canoga Park Senior High,62271002890
CANTARA STREET ELEMENTARY,California,CA ,Cantara Street Elementary,62271002891
CANTERBURY AVENUE ELEMENTARY,California,CA ,Canterbury Avenue Elementary,62271002892
CANTUA ELEMENTARY,California,CA ,Cantua Elementary,69113410215
CANYON CREST ACADEMY,California,CA ,Canyon Crest Academy,63438011396
CANYON CREST ELEMENTARY,California,CA ,Canyon Crest Elementary,61392001123
CANYON EARLY LEARNING CENTER,California,CA ,Canyon Early Learning Center,62532013522
CANYON ELEMENTARY,California,CA ,Canyon Elementary,60735000680
CANYON ELEMENTARY,California,CA ,Canyon Elementary,62271002894
CANYON HIGH,California,CA ,Canyon High,64251006958
CANYON HIGH,California,CA ,Canyon High,62865004421
CANYON HILLS,California,CA ,Canyon Hills,62865004422
CANYON HILLS JUNIOR HIGH,California,CA ,Canyon Hills Junior High,60846010299
CANYON LAKE MIDDLE,California,CA ,Canyon Lake Middle,60002710588
CANYON MIDDLE,California,CA ,Canyon Middle,60780000740
CANYON OAKS ELEMENTARY,California,CA ,Canyon Oaks Elementary,62664010976
CANYON OAKS HIGH,California,CA ,Canyon Oaks High,62532003776
CANYON OAKS YOUTH CENTER,California,CA ,Canyon Oaks Youth Center,69103312367
CANYON RIDGE HIGH,California,CA ,Canyon Ridge High,60001412100
CANYON RIM ELEMENTARY,California,CA ,Canyon Rim Elementary,62865007196
CANYON SPRINGS COMMUNITY ELEMENTARY,California,CA ,Canyon Springs Community Elementary,63822010249
CANYON SPRINGS HIGH,California,CA ,Canyon Springs High,62580008906
CANYON VIEW ELEMENTARY,California,CA ,Canyon View Elementary,68450007598
CANYON VIEW ELEMENTARY,California,CA ,Canyon View Elementary,63153009180
CANYON VISTA ELEMENTARY,California,CA ,Canyon Vista Elementary,60744011268
CAPAY JOINT UNION ELEMENTARY,California,CA ,Capay Joint Union Elementary,60741000682
CAPISTRANO AVENUE ELEMENTARY,California,CA ,Capistrano Avenue Elementary,62271002895
CAPISTRANO CONNECTIONS ACADEMY CHARTER,California,CA ,Capistrano Connections Academy,60744010983
CAPISTRANO ELEMENTARY,California,CA ,Capistrano Elementary,61269001429
CAPISTRANO VALLEY HIGH,California,CA ,Capistrano Valley High,60744000685
CAPISTRANO VIRTUAL/HOME,California,CA ,Capistrano Virtual/Home,60744011903
CAPITAL CITY INDEPENDENT STUDY,California,CA ,Capital City Independent Study,63384006327
CAPITOL COLLEGIATE ACADEMY,California,CA ,Capitol Collegiate Academy,63384012810
CAPPY CULVER ELEMENTARY,California,CA ,Cappy Culver Elementary,63501011786
CAPRI ELEMENTARY,California,CA ,Capri Elementary,60720000663
CAPRI ELEMENTARY,California,CA ,Capri Elementary,61275001433
CAPTAIN COOPER ELEMENTARY,California,CA ,Captain Cooper Elementary,60753000716
CAPTAIN JASON M. DAHL ELEMENTARY,California,CA ,Captain Jason M. Dahl Elementary,61437001646
CAPTAIN JOHN CONTINUATION HIGH,California,CA ,Captain John Continuation High,61995002388
CAPTAIN LELAND NORTON ELEMENTARY,California,CA ,Captain Leland Norton Elementary,63417005350
CAPTAIN RAYMOND COLLINS,California,CA ,Captain Raymond Collins,62985004645
CAPUCHINO HIGH,California,CA ,Capuchino High,63498005921
CARDIFF ELEMENTARY,California,CA ,Cardiff Elementary,60747000707
CARDOZO MIDDLE,California,CA ,Cardozo Middle,60006105115
CARL B. MUNCK ELEMENTARY,California,CA ,Carl B. Munck Elementary,62805004246
CARL E. GILBERT ELEMENTARY,California,CA ,Carl E. Gilbert Elementary,60636000556
CARL H. SUNDAHL ELEMENTARY,California,CA ,Carl H. Sundahl Elementary,61389009135
CARL HANKEY ELEMENTARY,California,CA ,Carl Hankey Elementary,60744000691
CARL HANKEY MIDDLE,California,CA ,Carl Hankey Middle,60744012093
CARL HARVEY ELEMENTARY,California,CA ,Carl Harvey Elementary,63531005988
CARL SMITH MIDDLE,California,CA ,Carl Smith Middle,63906004200
CARLE (WILLIAM C.) HIGH (CONTINUATION),California,CA ,Carle (William C.) High (Continuation),62007002399
CARLETON P. LIGHTFOOT ELEMENTARY,California,CA ,Carleton P. Lightfoot Elementary,61296003826
CARLIN C. COPPIN ELEMENTARY,California,CA ,Carlin C. Coppin Elementary,64214006894
CARLMONT HIGH,California,CA ,Carlmont High,63639006194
CARLOS SANTANA ARTS ACADEMY,California,CA ,Carlos Santana Arts Academy,62271012692
CARLSBAD HIGH,California,CA ,Carlsbad High,60750000709
CARLSBAD SEASIDE ACADEMY,California,CA ,Carlsbad Seaside Academy,60750008311
CARLSBAD VILLAGE ACADEMY,California,CA ,Carlsbad Village Academy,60750000712
CARLTON ELEMENTARY,California,CA ,Carlton Elementary,64032006669
CARLTON HILLS ELEMENTARY,California,CA ,Carlton Hills Elementary,63588006138
CARLTON OAKS ELEMENTARY,California,CA ,Carlton Oaks Elementary,63588006139
CARMACK,California,CA ,Carmack,63417007343
CARMEL CHILD DEVELOPMENT CENTER,California,CA ,Carmel Child Development Center,60753013242
CARMEL CREEK ELEMENTARY,California,CA ,Carmel Creek Elementary,63699003955
CARMEL DEL MAR ELEMENTARY,California,CA ,Carmel Del Mar Elementary,61074001171
CARMEL ELEMENTARY,California,CA ,Carmel Elementary,60001409477
CARMEL HIGH,California,CA ,Carmel High,60753000718
CARMEL MIDDLE,California,CA ,Carmel Middle,60753000719
CARMEL RIVER ELEMENTARY,California,CA ,Carmel River Elementary,60753000720
CARMEL VALLEY HIGH,California,CA ,Carmel Valley High,60753000717
CARMEL VALLEY MIDDLE,California,CA ,Carmel Valley Middle,63438008307
CARMELA ELEMENTARY,California,CA ,Carmela Elementary,63756007143
CARMEN DRAGON ELEMENTARY,California,CA ,Carmen Dragon Elementary,60285010752
CARMENITA MIDDLE,California,CA ,Carmenita Middle,60162000007
CARMICHAEL (BESSIE)/FEC,California,CA ,Carmichael (Bessie)/FEC,63441005590
CARMICHAEL ELEMENTARY,California,CA ,Carmichael Elementary,63462005759
CARNELIAN ELEMENTARY,California,CA ,Carnelian Elementary,60216000095
CAROLDALE LEARNING COMMUNITY,California,CA ,Caroldale Learning Community,62271002897
CAROLINE HARRIS ELEMENTARY,California,CA ,Caroline Harris Elementary,60363000303
CAROLINE WENZEL ELEMENTARY,California,CA ,Caroline Wenzel Elementary,63384005230
CAROLYN A. CLARK ELEMENTARY,California,CA ,Carolyn A. Clark Elementary,61314011451
CARPE DIEM HIGH (CONTINUATION),California,CA ,Carpe Diem High (Continuation),63025001786
CARPENTER COMMUNITY CHARTER,California,CA ,Carpenter Community Charter,62271002898
CARPENTER ELEMENTARY,California,CA ,Carpenter Elementary,61146001261
CARPINTERIA FAMILY,California,CA ,Carpinteria Family,60756011345
CARPINTERIA MIDDLE,California,CA ,Carpinteria Middle,60756000726
CARPINTERIA SENIOR HIGH,California,CA ,Carpinteria Senior High,60756000727
CARQUINEZ MIDDLE,California,CA ,Carquinez Middle,61899002299
CARR LAKE COMMUNITY DAY,California,CA ,Carr Lake Community Day,63398010561
CARRIAGE DRIVE ELEMENTARY,California,CA ,Carriage Drive Elementary,63462008971
CARRILLO ELEMENTARY,California,CA ,Carrillo Elementary,63488008314
CARRILLO RANCH ELEMENTARY,California,CA ,Carrillo Ranch Elementary,61111011017
CARRISA PLAINS ELEMENTARY,California,CA ,Carrisa Plains Elementary,60330000249
CARROLL ELEMENTARY,California,CA ,Carroll Elementary,61233011726
CARROLL FOWLER ELEMENTARY,California,CA ,Carroll Fowler Elementary,60813000783
CARSON ELEMENTARY,California,CA ,Carson Elementary,63432005429
CARSON SENIOR HIGH,California,CA ,Carson Senior High,62271002899
CARSON STREET ELEMENTARY,California,CA ,Carson Street Elementary,62271002900
CARSON-GORE ACADEMY OF ENVIORNMENTAL STUDIES,California,CA ,Carson-Gore Academy of Enviornmental Studies,62271012721
CARTER G. WOODSON PUBLIC CHARTER,California,CA ,Carter G. Woodson Public Charter,61455008697
CARTHAY CENTER ELEMENTARY,California,CA ,Carthay Center Elementary,62271002901
CARUTHERS ELEMENTARY,California,CA ,Caruthers Elementary,60006700730
CARUTHERS HIGH,California,CA ,Caruthers High,60006700731
CARVER (CHARLES J.) ELEMENTARY,California,CA ,Carver (Charles J.) Elementary,60162000008
CARVER (GEORGE WASHINGTON) ELEMENTARY,California,CA ,Carver (George Washington) Elementary,63441005616
CARVER ACADEMY,California,CA ,Carver Academy,61455001714
CARVER ELEMENTARY,California,CA ,Carver Elementary,62250002706
CARVER ELEMENTARY,California,CA ,Carver Elementary,60962000974
CARVER ELEMENTARY,California,CA ,Carver Elementary,63486005884
CARVER ELEMENTARY,California,CA ,Carver Elementary,63432005430
CARYN ELEMENTARY,California,CA ,Caryn Elementary,61296009365
CASA DE ORO ELEMENTARY,California,CA ,Casa de Oro Elementary,62025002427
CASA GRANDE HIGH,California,CA ,Casa Grande High,63025004715
CASA LOMA ELEMENTARY,California,CA ,Casa Loma Elementary,60363000290
"CASA RAMONA ACADEMY FOR TECHNOLOGY, COMMUNITY, AND",California,CA ,"Casa Ramona Academy for Technology, Community, and Education",63417011985
CASA ROBLE FUNDAMENTAL HIGH,California,CA ,Casa Roble Fundamental High,63462005761
CASCADE COMMUNITY DAY,California,CA ,Cascade Community Day,60768007441
CASCADE HIGH,California,CA ,Cascade High,60658002824
CASEY ELEMENTARY,California,CA ,Casey Elementary,63237004988
CASILLAS (JOSEPH) ELEMENTARY,California,CA ,Casillas (Joseph) Elementary,60861007646
CASIMIR MIDDLE,California,CA ,Casimir Middle,63942006555
CASITA CENTER FOR SCIENCE/MATH/TECHNOLOGY,California,CA ,Casita Center for Science/Math/Technology,64119006816
CASTAIC ELEMENTARY,California,CA ,Castaic Elementary,60774000738
CASTAIC MIDDLE,California,CA ,Castaic Middle,60774009121
CASTELAR STREET ELEMENTARY,California,CA ,Castelar Street Elementary,62271002903
CASTERLIN ELEMENTARY,California,CA ,Casterlin Elementary,63759006365
CASTILLE ELEMENTARY,California,CA ,Castille Elementary,60744000686
CASTILLERO MIDDLE,California,CA ,Castillero Middle,63459005707
CASTLE HEIGHTS ELEMENTARY,California,CA ,Castle Heights Elementary,62271002904
CASTLE PARK ELEMENTARY,California,CA ,Castle Park Elementary,60861000856
CASTLE PARK MIDDLE,California,CA ,Castle Park Middle,63864006476
CASTLE PARK SENIOR HIGH,California,CA ,Castle Park Senior High,63864006477
CASTLE ROCK,California,CA ,Castle Rock,69106308694
CASTLE ROCK ELEMENTARY,California,CA ,Castle Rock Elementary,64128006833
CASTLE ROCK ELEMENTARY,California,CA ,Castle Rock Elementary,60777000739
CASTLE ROCK ELEMENTARY,California,CA ,Castle Rock Elementary,60141809659
CASTLE VIEW ELEMENTARY,California,CA ,Castle View Elementary,63315005133
CASTLEBAY LANE CHARTER,California,CA ,Castlebay Lane Charter,62271002905
CASTLEMONT ELEMENTARY,California,CA ,Castlemont Elementary,60720000664
CASTLEMONT HIGH,California,CA ,Castlemont High,62805012992
CASTLEMONT JUNIOR ACADEMY,CALIFORNIA,CA ,Castlemont Junior Academy,62805013889
CASTLEMONT PRIMARY ACADEMY,CALIFORNIA,CA ,Castlemont Primary Academy,62805013864
CASTRO VALLEY ELEMENTARY,California,CA ,Castro Valley Elementary,60780000741
CASTRO VALLEY HIGH,California,CA ,Castro Valley High,60780000742
CASTROVILLE ELEMENTARY,California,CA ,Castroville Elementary,62759004140
CASWELL ELEMENTARY,California,CA ,Caswell Elementary,60813000784
CASWELL STATE PRESCHOOL,California,CA ,Caswell State Preschool,60813012599
CATHEDRAL CITY ELEMENTARY,California,CA ,Cathedral City Elementary,62955004561
CATHEDRAL CITY HIGH,California,CA ,Cathedral City High,62955010279
CATHERINE EVERETT ELEMENTARY,California,CA ,Catherine Everett Elementary,62513003731
CATHERINE L. ZANE MIDDLE,California,CA ,Catherine L. Zane Middle,60005201476
CATHERYN GATES ELEMENTARY,California,CA ,Catheryn Gates Elementary,63360008255
CATSKILL AVENUE ELEMENTARY,California,CA ,Catskill Avenue Elementary,62271002906
CAVE LANGUAGE ACADEMY,California,CA ,Cave Language Academy,64074006722
CAWSTON ELEMENTARY,California,CA ,Cawston Elementary,61692011018
CAYUCOS ELEMENTARY,California,CA ,Cayucos Elementary,60784007271
CDS ELEMENTARY,California,CA ,CDS Elementary,62271010528
CDS SECONDARY,California,CA ,CDS Secondary,62271010519
CECIL AVENUE MATH AND SCIENCE ACADEMY,California,CA ,Cecil Avenue Math and Science Academy,61089001208
CECILIA LUCERO SOLORIO ELEMENTARY,California,CA ,Cecilia Lucero Solorio Elementary,61296008585
CEDAR GROVE ELEMENTARY,California,CA ,Cedar Grove Elementary,61314001491
CEDAR LANE ELEMENTARY,California,CA ,Cedar Lane Elementary,62409003623
CEDAR MIDDLE,California,CA ,Cedar Middle,60001412103
CEDARCREEK ELEMENTARY,California,CA ,Cedarcreek Elementary,63597006153
CEDARGROVE ELEMENTARY,California,CA ,Cedargrove Elementary,60819000800
CEDARLANE ACADEMY,California,CA ,Cedarlane Academy,61632512808
CEDARWOOD ELEMENTARY,California,CA ,Cedarwood Elementary,62982005712
CEDARWOOD ELEMENTARY,California,CA ,Cedarwood Elementary,60903005744
CEIBA COLLEGE PREPARATORY ACADEMY,California,CA ,Ceiba College Preparatory Academy,62949012189
CELERITY CARDINAL CHARTER,California,CA ,Celerity Cardinal Charter,62271012942
CELERITY DYAD CHARTER,California,CA ,Celerity Dyad Charter,62271012162
CELERITY EXA CHARTER,California,CA ,Celerity Exa Charter,62994013093
CELERITY NASCENT CHARTER,California,CA ,Celerity Nascent Charter,62271010869
CELERITY OCTAVIA CHARTER,California,CA ,Celerity Octavia Charter,62271012782
CELERITY PALMATI CHARTER,California,CA ,Celerity Palmati Charter,62271012614
CELERITY SIRIUS CHARTER,California,CA ,Celerity Sirius Charter,69107812925
CELERITY TROIKA CHARTER,California,CA ,Celerity Troika Charter,62271012120
CENTENNIAL CONTINUATION HIGH,California,CA ,Centennial Continuation High,60981001043
CENTENNIAL ELEMENTARY,California,CA ,Centennial Elementary,61455001715
CENTENNIAL ELEMENTARY,California,CA ,Centennial Elementary,63348010033
CENTENNIAL HIGH,California,CA ,Centennial High,61954002041
CENTENNIAL HIGH,California,CA ,Centennial High,60962000975
CENTENNIAL HIGH,California,CA ,Centennial High,60985009532
CENTENNIAL INDEPENDENT STUDY,California,CA ,Centennial Independent Study,60006811949
CENTENNIAL VISTA HIGH,California,CA ,Centennial Vista High,60985000870
CENTER ELEMENTARY,California,CA ,Center Elementary,63963006595
CENTER FOR ADVANCED LEARNING,California,CA ,Center for Advanced Learning,62271012044
CENTER FOR ALTERNATIVE LEARNING,California,CA ,Center for Alternative Learning,60837012830
CENTER FOR LEARNING AND EDUCATIONAL SUCCESS,California,CA ,Center For Learning and Educational Success,63417013709
CENTER HIGH,California,CA ,Center High,60790008805
CENTER MIDDLE,California,CA ,Center Middle,60360000269
CENTER STREET ELEMENTARY,California,CA ,Center Street Elementary,61221001387
CENTERVILLE ELEMENTARY,California,CA ,Centerville Elementary,63525005968
CENTERVILLE HIGH (CONTINUATION),California,CA ,Centerville High (Continuation),63140007333
CENTERVILLE JUNIOR HIGH,California,CA ,Centerville Junior High,61440001660
CENTINELA ELEMENTARY,California,CA ,Centinela Elementary,61839002248
CENTINELA VALLEY INDEPENDENT STUDY,California,CA ,Centinela Valley Independent Study,60792012265
CENTRAL BAY HIGH (CONTINUATION),California,CA ,Central Bay High (Continuation),62759000684
CENTRAL CALIFORNIA CONNECTIONS ACADEMY,California,CA ,Central California Connections Academy,60201011819
CENTRAL CITY VALUE,California,CA ,Central City Value,62271011337
CENTRAL COAST HIGH,California,CA ,Central Coast High,62553003821
CENTRAL COAST NEW TECH HIGH,California,CA ,Central Coast New Tech High,62308013014
CENTRAL COUNTY SPECIAL EDUCATION PROGRAMS,California,CA ,Central County Special Education Programs,69100510749
CENTRAL ELEMENTARY,California,CA ,Central Elementary,63738006317
CENTRAL ELEMENTARY,California,CA ,Central Elementary,61288001451
CENTRAL ELEMENTARY,California,CA ,Central Elementary,63432005431
CENTRAL ELEMENTARY,California,CA ,Central Elementary,62667004042
CENTRAL ELEMENTARY,California,CA ,Central Elementary,60795000761
CENTRAL ELEMENTARY,California,CA ,Central Elementary,60453000414
CENTRAL ELEMENTARY,California,CA ,Central Elementary,60004707383
CENTRAL ELEMENTARY,California,CA ,Central Elementary,60369000326
CENTRAL ELEMENTARY,California,CA ,Central Elementary,60798000766
CENTRAL ELEMENTARY,California,CA ,Central Elementary,60384000348
CENTRAL GAITHER ELEMENTARY,California,CA ,Central Gaither Elementary,64347007032
CENTRAL HIGH,California,CA ,Central High,62271002908
CENTRAL HIGH (CONTINUATION),California,CA ,Central High (Continuation),62583003873
CENTRAL HIGH (CONTINUATION),California,CA ,Central High (Continuation),60402000358
CENTRAL HIGH EAST CAMPUS,California,CA ,Central High East Campus,60797005777
CENTRAL JUVENILE HALL,California,CA ,Central Juvenile Hall,69107812696
CENTRAL LANGUAGE ACADEMY,California,CA ,Central Language Academy,62847009417
CENTRAL MIDDLE,California,CA ,Central Middle,63315005134
CENTRAL MIDDLE,California,CA ,Central Middle,63429005402
CENTRAL MIDDLE,California,CA ,Central Middle,62910004489
CENTRAL MIDDLE - RISE,California,CA ,Central Middle - RISE,69100213670
CENTRAL ORANGE COUNTY CTE PARTNERSHIP (CTEP),California,CA ,Central Orange County CTE Partnership (CTEp),60012410999
CENTRAL SIERRA ROP,California,CA ,Central Sierra ROP,60009610770
CENTRAL UNIFIED ALTERNATIVE/OPPORTUNITY,California,CA ,Central Unified Alternative/Opportunity,60797009345
CENTRAL UNION HIGH,California,CA ,Central Union High,60801000771
CENTRAL VALLEY HIGH,California,CA ,Central Valley High,61495001667
CENTRAL VALLEY HIGH,California,CA ,Central Valley High,60813011489
CENTRAL VALLEY HIGH (CONTINUATION),California,CA ,Central Valley High (Continuation),61954002342
CENTRALIA ELEMENTARY,California,CA ,Centralia Elementary,60807002335
CENTURY ACADEMY,California,CA ,Century Academy,60964012664
CENTURY ACADEMY FOR EXCELLENCE,California,CA ,Century Academy for Excellence,62142011614
CENTURY COMMUNITY CHARTER,California,CA ,Century Community Charter,62142010827
CENTURY ELEMENTARY,California,CA ,Century Elementary,60903008466
CENTURY HIGH,California,CA ,Century High,60015310928
CENTURY HIGH,California,CA ,Century High,63531009633
CENTURY PARK ELEMENTARY,California,CA ,Century Park Elementary,62271002909
CERES ELEMENTARY,California,CA ,Ceres Elementary,61185001311
CERES HIGH,California,CA ,Ceres High,60813000785
CERRA VISTA ELEMENTARY,California,CA ,Cerra Vista Elementary,61734009378
CERRITOS ELEMENTARY,California,CA ,Cerritos Elementary,63603006165
CERRITOS ELEMENTARY,California,CA ,Cerritos Elementary,61524001920
CERRITOS ELEMENTARY,California,CA ,Cerritos Elementary,60162000009
CERRITOS HIGH,California,CA ,Cerritos High,60162000010
CERRO VILLA MIDDLE,California,CA ,Cerro Villa Middle,62865004423
CESAR CHAVEZ ACADEMY,California,CA ,Cesar Chavez Academy,60985007209
CESAR CHAVEZ CONTINUATION HIGH,California,CA ,Cesar Chavez Continuation High,60962002220
CESAR CHAVEZ ELEMENTARY,California,CA ,Cesar Chavez Elementary,62271010887
CESAR CHAVEZ ELEMENTARY,California,CA ,Cesar Chavez Elementary,62334011678
CESAR CHAVEZ ELEMENTARY,California,CA ,Cesar Chavez Elementary,60690011897
CESAR CHAVEZ ELEMENTARY,California,CA ,Cesar Chavez Elementary,60907009764
CESAR CHAVEZ ELEMENTARY,California,CA ,Cesar Chavez Elementary,62769008922
CESAR CHAVEZ ELEMENTARY,California,CA ,Cesar Chavez Elementary,60231000111
CESAR CHAVEZ ELEMENTARY,California,CA ,Cesar Chavez Elementary,63186004916
CESAR CHAVEZ ELEMENTARY,California,CA ,Cesar Chavez Elementary,61062001183
CESAR CHAVEZ ELEMENTARY,California,CA ,Cesar Chavez Elementary,61608002256
CESAR CHAVEZ HIGH,California,CA ,Cesar Chavez High,63801011422
CESAR CHAVEZ INTERMEDIATE,California,CA ,Cesar Chavez Intermediate,63384010358
CESAR CHAVEZ JUNIOR HIGH,California,CA ,Cesar Chavez Junior High,60813012670
CESAR CHAVEZ LANGUAGE ACADEMY,California,CA ,Cesar Chavez Language Academy,63581013339
CESAR CHAVEZ MIDDLE,California,CA ,Cesar Chavez Middle,61674002118
CESAR CHAVEZ MIDDLE,California,CA ,Cesar Chavez Middle,62691004073
CESAR CHAVEZ MIDDLE,California,CA ,Cesar Chavez Middle,62825011922
CESAR CHAVEZ MIDDLE,California,CA ,Cesar Chavez Middle,62316010902
CESAR E CHAVEZ ELEMENTARY,California,CA ,Cesar E Chavez Elementary,62991004659
CESAR E. CHAVEZ ELEMENTARY,California,CA ,Cesar E. Chavez Elementary,60363003095
CESAR E. CHAVEZ ELEMENTARY,California,CA ,Cesar E. Chavez Elementary,62547003793
CESAR E. CHAVEZ ELEMENTARY,California,CA ,Cesar E. Chavez Elementary,62922004507
CESAR E. CHAVEZ ELEMENTARY,California,CA ,Cesar E. Chavez Elementary,63255007081
CESAR E. CHAVEZ ELEMENTARY,California,CA ,Cesar E. Chavez Elementary,60195006050
CESAR E. CHAVEZ HIGH,California,CA ,Cesar E. Chavez High,63531004767
CESAR E. CHAVEZ HIGH,California,CA ,Cesar E. Chavez High,61086011206
CESAR E. CHAVEZ LRNG ACADS-ACAD OF SCIENTIFIC EXPL,California,CA ,Cesar E. Chavez Lrng Acads-Acad of Scientific Explr (ASE),62271012858
"CESAR E. CHAVEZ LRNG ACADS-ARTS,THEATRE, ENTERTMNT",California,CA ,"Cesar E. Chavez Lrng Acads-Arts,Theatre, Entertmnt (ArTES)",62271012926
CESAR E. CHAVEZ LRNG ACADS-SOC JUST HUMANITAS ACAD,California,CA ,Cesar E. Chavez Lrng Acads-Soc Just Humanitas Acad,62271012895
CESAR E. CHAVEZ LRNG ACADS-TEACHER PREPARATION ACA,California,CA ,Cesar E. Chavez Lrng Acads-Teacher Preparation Acad,62271012964
CESAR E. CHAVEZ MIDDLE,California,CA ,Cesar E. Chavez Middle,62949011463
CESAR E. CHAVEZ MIDDLE,California,CA ,Cesar E. Chavez Middle,63084010555
CESAR E. CHAVEZ MIDDLE,California,CA ,Cesar E. Chavez Middle,63417011106
CHABOT ELEMENTARY,California,CA ,Chabot Elementary,62805004239
CHABOT ELEMENTARY,California,CA ,Chabot Elementary,60780007661
CHABOYA MIDDLE,California,CA ,Chaboya Middle,61314010321
CHAFFEY COMMUNITY DAY,California,CA ,Chaffey Community Day,60816007260
CHAFFEY DISTRICT ONLINE HIGH,California,CA ,Chaffey District Online High,60816013110
CHAFFEY HIGH,California,CA ,Chaffey High,60816000791
CHALLENGER ELEMENTARY COMMUNITY DAY,California,CA ,Challenger Elementary Community Day,69101710949
CHALLENGER MIDDLE,California,CA ,Challenger Middle,64281009208
CHALLENGER MIDDLE,California,CA ,Challenger Middle,63432009189
CHALLENGER SCHOOL OF SPORTS AND FITNESS,California,CA ,Challenger School of Sports and Fitness,64104011109
CHALLENGES COMMUNITY DAY,California,CA ,Challenges Community Day,60402011946
CHALONE HIGH,California,CA ,Chalone High,63705008226
CHALONE PEAKS MIDDLE,California,CA ,Chalone Peaks Middle,61968002361
CHAMPS - CHARTER HS OF ARTS-MULTIMEDIA & PERFORMIN,California,CA ,CHAMPS - Charter HS of Arts-Multimedia & Performing,62271010865
CHANA HIGH (CONTINUATION),California,CA ,Chana High (Continuation),63075004780
CHANDLER LEARNING ACADEMY,California,CA ,Chandler Learning Academy,62271002910
CHANNEL ISLANDS HIGH,California,CA ,Channel Islands High,62927004517
CHAPARRAL ELEMENTARY,California,CA ,Chaparral Elementary,60744008751
CHAPARRAL ELEMENTARY,California,CA ,Chaparral Elementary,62958009173
CHAPARRAL ELEMENTARY,California,CA ,Chaparral Elementary,62100002520
CHAPARRAL ELEMENTARY,California,CA ,Chaparral Elementary,60876000886
CHAPARRAL ELEMENTARY,California,CA ,Chaparral Elementary,60846011737
CHAPARRAL ELEMENTARY,California,CA ,Chaparral Elementary,61392010362
CHAPARRAL ELEMENTARY,California,CA ,Chaparral Elementary,63153004885
CHAPARRAL HIGH,California,CA ,Chaparral High,61623002017
CHAPARRAL HIGH,California,CA ,Chaparral High,63697007874
CHAPARRAL HIGH,California,CA ,Chaparral High,62827004375
CHAPARRAL HIGH,California,CA ,Chaparral High,60002807222
CHAPARRAL HIGH (CONTINUATION),California,CA ,Chaparral High (Continuation),60561000506
CHAPARRAL HILLS ELEMENTARY,California,CA ,Chaparral Hills Elementary,62580011028
CHAPARRAL MIDDLE,California,CA ,Chaparral Middle,62569007786
CHAPARRAL MIDDLE,California,CA ,Chaparral Middle,64128006834
CHAPMAN ELEMENTARY,California,CA ,Chapman Elementary,62271002911
CHAPMAN ELEMENTARY,California,CA ,Chapman Elementary,60837000813
CHAPMAN HEIGHTS ELEMENTARY,California,CA ,Chapman Heights Elementary,64356012266
CHAPMAN HILLS ELEMENTARY,California,CA ,Chapman Hills Elementary,62865009419
CHARLES BLACKSTOCK JUNIOR HIGH,California,CA ,Charles Blackstock Junior High,61785002198
CHARLES BURSCH ELEMENTARY,California,CA ,Charles Bursch Elementary,60369000325
CHARLES D. JONES JUNIOR HIGH,California,CA ,Charles D. Jones Junior High,60369000327
CHARLES DREW MIDDLE,California,CA ,Charles Drew Middle,62271002966
CHARLES E. MACK ELEMENTARY,California,CA ,Charles E. Mack Elementary,61233001405
CHARLES G. EMERY ELEMENTARY,California,CA ,Charles G. Emery Elementary,60636000555
CHARLES H. CASTLE ELEMENTARY,California,CA ,Charles H. Castle Elementary,60639009332
CHARLES H. KIM ELEMENTARY,California,CA ,Charles H. Kim Elementary,62271011646
CHARLES H. LEE ELEMENTARY,California,CA ,Charles H. Lee Elementary,60360000277
CHARLES HELMERS ELEMENTARY,California,CA ,Charles Helmers Elementary,63597009193
CHARLES HOFFMAN ELEMENTARY,California,CA ,Charles Hoffman Elementary,63261005075
CHARLES LEROY LOWMAN SPECIAL EDUCATION CENTER,California,CA ,Charles Leroy Lowman Special Education Center,62271007758
CHARLES MACLAY MIDDLE,California,CA ,Charles Maclay Middle,62271003155
CHARLES PECK ELEMENTARY,California,CA ,Charles Peck Elementary,63462005809
CHARLES T. KRANZ INTERMEDIATE,California,CA ,Charles T. Kranz Intermediate,62619003912
CHARLES W. BARRETT ELEMENTARY,California,CA ,Charles W. Barrett Elementary,62271003221
CHARLES W. ELIOT MIDDLE,California,CA ,Charles W. Eliot Middle,62994004667
CHARLES W. TEWINKLE MIDDLE,California,CA ,Charles W. Tewinkle Middle,62724004131
CHARLES WAGNER ELEMENTARY,California,CA ,Charles Wagner Elementary,63066004775
CHARLES WHITE ELEMENTARY,California,CA ,Charles White Elementary,62271010857
CHARLES WRIGHT ELEMENTARY,California,CA ,Charles Wright Elementary,62460003687
CHARLESTON ELEMENTARY,California,CA ,Charleston Elementary,62274003478
CHARLOTTE N. WERNER ELEMENTARY,California,CA ,Charlotte N. Werner Elementary,63237012308
CHARLOTTE WOOD MIDDLE,California,CA ,Charlotte Wood Middle,63513005944
CHARNOCK ROAD ELEMENTARY,California,CA ,Charnock Road Elementary,62271002913
