School,District,City,State,Management Structure,Year Opened
Downtown Charter Academy,Oakland Unified,Oakland,CA,CMO,2014
Downtown College Prep - Alum Rock,Santa Clara County Office Of Education,San Jose,CA,CMO,2011
Downtown College Preparatory,San Jose Unified School District,San Jose,CA,CMO,2000
Downtown College Preparatory Middle,San Jose Unified,San Jose,CA,CMO,2014
Downtown Value,Los Angeles Unified School District,Los Angeles,CA,CMO,2002
Dr. Lewis Dolphin Stallworth Sr.,Stockton Unified School District,Stockton,CA,Independent,2008
Dr. Theo T. Alexander Science Center School,Los Angeles Unified School District,Los Angeles,CA,Independent,2004
Dual Language Academy of the Monterey Peninsula,Monterey Peninsula Unified,Seaside,CA,Independent,2014
Dunham Charter,Dunham Elementary,Petaluma,CA,Independent,2010
E3 Civic High,San Diego Unified,San Diego,CA,Independent,2013
EJE Middle Academy,Cajon Valley Union School District,El Cajon,CA,CMO,2009
EPIC de Cesar Chavez,Nevada County Office of Education,Tehachapi,CA,Independent,2014
EV Cain 21st Century S.T.E.M. Charter School,Auburn Union Elementary,Auburn,CA,Independent,2010
Eagle Peak Montessori,Mount Diablo Unified School District,Walnut Creek,CA,Independent,2001
Early College Academy for Leaders and Scholars (ECALS),Los Angeles Unified School District,Los Angeles,CA,CMO,2011
East Bay Innovation Academy,Oakland Unified,Oakland,CA,Independent,2014
East Oakland Leadership Academy,Oakland Unified School District,Oakland,CA,Independent,2003
East Palo Alto Academy,Sequoia Union High School District,Menlo Park,CA,Independent,2012
Edison Charter Academy,San Francisco Unified School District,San Francisco,CA,Independent,2001
Edison-Bethune Charter Academy,Fresno County Office Of Education,Fresno,CA,EMO,1999
Edison-Brentwood Academy,Ravenswood City School District,East Palo Alto,CA,EMO,1999
Edward B. Cole Academy,Santa Ana Unified School District,Santa Ana,CA,Independent,2003
Eel River Charter,Round Valley Unified School District,Covelo,CA,Independent,1994
Eje Elementary Academy Charter,Cajon Valley Union School District,El Cajon,CA,CMO,2005
El Camino Real Charter High,Los Angeles Unified School District,Woodland Hills,CA,Independent,2011
El Dorado Coe Charter Community Day,El Dorado County Office Of Education,Placerville,CA,Independent,2006
El Oro Way Charter for Enriched Studies,Los Angeles Unified School District,Granada Hills,CA,Independent,2012
El Rancho Charter,Orange Unified School District,Anaheim,CA,Independent,2003
El Sol Santa Ana Science and Arts Academy,Santa Ana Unified School District,Santa Ana,CA,Independent,2001
Elevate Elementary,San Diego Unified,San Diego,CA,Independent,2014
Elise P. Buckingham Charter,Vacaville Unified School District,Vacaville,CA,Independent,1994
Elk Grove Charter,Elk Grove Unified School District,Elk Grove,CA,Independent,1999
Emelita Academy Charter,Los Angeles Unified,Encino,CA,Independent,2013
Emerson Community Charter,,Los Angeles,CA,Independent,2014
Empire Springs Charter,Helendale Elementary,Temecula,CA,CMO,2013
Empower Charter,San Diego Unified,San Diego,CA,Independent,2014
Enadia Technology Enriched Charter,Los Angeles Unified School District,West Hills,CA,Independent,2012
Encino Charter Elementary,Los Angeles Unified School District,Encino,CA,Independent,2012
Encore High for The Performing and Visual Arts,Hesperia Unified School District,Hesperia,CA,Independent,2008
Endeavor College Preparatory Charter,Los Angeles Unified School District,Los Angeles,CA,CMO,2009
Environmental Charter High,Lawndale Elementary School District,Lawndale,CA,CMO,2001
Environmental Charter Middle,Los Angeles County Office Of Education,Lawndale,CA,CMO,2010
Environmental Charter Middle - Inglewood,Los Angeles County Office of Education,Inglewood,CA,CMO,2013
Envision Academy for Arts & Technology,Alameda County Office Of Education,Oakland,CA,CMO,2006
Ephraim Williams College Prep,,Sacramento,CA,Independent,2014
Epic Charter,Oakland Unified,Oakland,CA,CMO,2014
Epiphany Prep Charter,San Diego Unified,Escondido,CA,Independent,2013
Equitas Academy #2,Los Angeles Unified,Los Angeles,CA,CMO,2013
Equitas Academy Charter,Los Angeles Unified School District,Los Angeles,CA,CMO,2009
Escalon Charter Academy,Escalon Unified,Escalon,CA,Independent,2012
Escondido Charter High,Escondido Union High School District,Escondido,CA,CMO,1996
Escuela Popular Accelerated Family Learning,East Side Union High School District,San Jose,CA,CMO,2002
Escuela Popular/Center for Training and Careers,East Side Union High School District,San Jose,CA,CMO,2004
Evangeline Roberts Institute of Learning,San Diego Unified School District,San Diego,CA,Independent,2011
Everest Public High,Sequoia Union High School District,Redwood City,CA,CMO,2009
Everest Value,Los Angeles Unified,Los Angeles,CA,CMO,2014
Excel Charter Academy,Los Angeles Unified School District,Los Angeles,CA,CMO,2006
Excel Prep Charter,San Bernardino City Unified School District,San Bernardino,CA,CMO,2010
Excel Prep Charter - LE,Nuview Union School District,,CA,CMO,2012
Excelsior Charter,Victor Valley Union High School District,Victorville,CA,Independent,1995
Executive Preparatory Academy of Finance,Los Angeles Unified,Beverley Hills,CA,Independent,2013
Explorer Elementary,San Diego Unified School District,San Diego,CA,CMO,2000
Extera Public,Los Angeles Unified School District,Los Angeles,CA,CMO,2011
Extera Public School No. 2,Los Angeles Unified,,CA,CMO,2013
Ezequiel Tafoya Alvarado Academy,Madera Unified School District,Madera,CA,Independent,2005
FAME Public Charter,Alameda County Office Of Education,,CA,Independent,2005
Fairmont Charter Elementary,Vacaville Unified School District,Vacaville,CA,Independent,2006
Family First Charter,Centinela Valley Union High School District,Hawthorne,CA,Independent,2013
Fammatre Elementary,Cambrian School District,San Jose,CA,Independent,2004
Farnham Charter,Cambrian School District,San Jose,CA,Independent,2003
Feaster (Mae L.) Charter,Chula Vista Elementary School District,Chula Vista,CA,Independent,1997
Fenton Avenue Charter,Los Angeles Unified School District,Lake View,CA,CMO,1994
Fenton Primary Center,Los Angeles Unified School District,Lake View,CA,CMO,2008
