CDS,Name,AggLevel,DFC,Subgroup,Subgrouptype,NumCohort,NumGraduates,Cohort Graduation Rate,NumDropouts,Cohort Dropout Rate,NumSpecialEducation,Special Ed Completers Rate,NumStillEnrolled,Still Enrolled Rate,NumGED,GED Rate,Year
3.91E+13,Excel Academy: Collegiate Sports Health Science Preparatory High,S,Y,FEM,5,*,*,100,*,0,*,0,*,0,*,0,1314
9.62E+12,Union Mine High,S,N,FEM,7,99,97,97.98,*,0,*,1,*,1,*,0,1314
9.62E+12,EDUHSD Virtual Academy at Shenandoah,S,N,FEM,7,12,*,83.33,*,16.7,*,0,*,0,*,0,1314
9.62E+12,El Dorado High,S,N,FEM,1,*,*,75,*,0,*,25,*,0,*,0,1314
9.62E+12,El Dorado High,S,N,FEM,3,*,*,100,*,0,*,0,*,0,*,0,1314
9.62E+12,South Tahoe High,S,N,FEM,2,*,*,100,*,0,*,0,*,0,*,0,1314
9.62E+12,South Tahoe High,S,N,FEM,7,65,62,95.38,*,3.1,*,0,*,0,*,1.5,1314
1.01E+13,Crescent View West Charter,S,Y,FEM,2,*,*,0,*,80,*,0,*,20,*,0,1314
1.01E+13,Crescent View West Charter,S,Y,FEM,7,23,*,21.74,*,39.1,*,0,*,39.1,*,0,1314
1.01E+13,Hume Lake Charter,S,Y,FEM,7,*,*,100,*,0,*,0,*,0,*,0,1314
1.01E+13,Big Picture High School - Fresno,S,Y,FEM,6,*,*,80,*,20,*,0,*,0,*,0,1314
1.01E+13,Fresno County Community,S,N,FEM,6,*,*,0,*,75,*,0,*,25,*,0,1314
1.01E+13,Fresno County Community Day,S,N,FEM,5,*,*,0,*,100,*,0,*,0,*,0,1314
1.06E+13,Clovis Community Day Secondary,S,N,FEM,6,*,*,0,*,50,*,0,*,50,*,0,1314
1.06E+13,Clovis North High,S,N,FEM,2,32,31,96.88,*,0,*,0,*,3.1,*,0,1314
1.06E+13,Clovis North High,S,N,FEM,5,48,48,100,*,0,*,0,*,0,*,0,1314
1.06E+13,Clovis North High,S,N,FEM,7,146,144,98.63,*,0.7,*,0.7,*,0,*,0,1314
1.06E+13,Clovis Online Charter,S,N,FEM,6,*,*,100,*,0,*,0,*,0,*,0,1314
1.06E+13,Clovis Online Charter,S,N,FEM,1,*,*,0,*,50,*,0,*,50,*,0,1314
1.06E+13,Clovis West High,S,N,FEM,6,*,*,100,*,0,*,0,*,0,*,0,1314
1.06E+13,Clovis West High,S,N,FEM,1,*,*,100,*,0,*,0,*,0,*,0,1314
1.06E+13,Clovis East High,S,N,FEM,6,*,*,100,*,0,*,0,*,0,*,0,1314
1.06E+13,Clovis East High,S,N,FEM,1,*,*,100,*,0,*,0,*,0,*,0,1314
1.06E+13,Gateway High (Continuation),S,N,FEM,2,*,*,0,*,0,*,0,*,100,*,0,1314
1.06E+13,Gateway High (Continuation),S,N,FEM,7,*,*,33.33,*,33.3,*,0,*,33.3,*,0,1314
1.06E+13,Clovis High,S,N,FEM,6,*,*,100,*,0,*,0,*,0,*,0,1314
1.06E+13,Clovis High,S,N,FEM,1,*,*,66.67,*,0,*,33.3,*,0,*,0,1314
1.06E+13,Coalinga High,S,N,FEM,6,*,*,100,*,0,*,0,*,0,*,0,1314
1.06E+13,Fowler Academy Independent Study,S,N,FEM,7,*,*,50,*,50,*,0,*,0,*,0,1314
1.06E+13,Fowler High,S,N,FEM,2,*,*,100,*,0,*,0,*,0,*,0,1314
1.06E+13,Fowler High,S,N,FEM,5,55,55,100,*,0,*,0,*,0,*,0,1314
