School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,School Level Code [Public School] 2012-13,School Level Code [Public School] 2011-12,School Level Code [Public School] 2010-11,Lowest Grade Offered [Public School] 2012-13,Lowest Grade Offered [Public School] 2011-12,Lowest Grade Offered [Public School] 2010-11,Highest Grade Offered [Public School] 2012-13,Highest Grade Offered [Public School] 2011-12,Highest Grade Offered [Public School] 2010-11,Prekindergarten offered [Public School] 2012-13,Prekindergarten offered [Public School] 2011-12,Prekindergarten offered [Public School] 2010-11,Kindergarten offered [Public School] 2012-13,Kindergarten offered [Public School] 2011-12,Kindergarten offered [Public School] 2010-11,Total Students All Grades (Excludes AE) [Public School] 2012-13,Total Students All Grades (Excludes AE) [Public School] 2011-12,Total Students All Grades (Excludes AE) [Public School] 2010-11,Free Lunch Eligible [Public School] 2012-13,Free Lunch Eligible [Public School] 2011-12,Free Lunch Eligible [Public School] 2010-11,Reduced-price Lunch Eligible Students [Public School] 2012-13,Reduced-price Lunch Eligible Students [Public School] 2011-12,Reduced-price Lunch Eligible Students [Public School] 2010-11,Free and Reduced Lunch Students [Public School] 2012-13,Free and Reduced Lunch Students [Public School] 2011-12,Free and Reduced Lunch Students [Public School] 2010-11,Prekindergarten and Kindergarten Students [Public School] 2012-13,Prekindergarten and Kindergarten Students [Public School] 2011-12,Prekindergarten and Kindergarten Students [Public School] 2010-11,Grades 1-8 Students [Public School] 2012-13,Grades 1-8 Students [Public School] 2011-12,Grades 1-8 Students [Public School] 2010-11,Grades 9-12 Students [Public School] 2012-13,Grades 9-12 Students [Public School] 2011-12,Grades 9-12 Students [Public School] 2010-11,Prekindergarten Students [Public School] 2012-13,Prekindergarten Students [Public School] 2011-12,Prekindergarten Students [Public School] 2010-11,Kindergarten Students [Public School] 2012-13,Kindergarten Students [Public School] 2011-12,Kindergarten Students [Public School] 2010-11,Male Students [Public School] 2012-13,Male Students [Public School] 2011-12,Male Students [Public School] 2010-11,Female Students [Public School] 2012-13,Female Students [Public School] 2011-12,Female Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2012-13,American Indian/Alaska Native Students [Public School] 2011-12,American Indian/Alaska Native Students [Public School] 2010-11,Asian or Asian/Pacific Islander Students [Public School] 2012-13,Asian or Asian/Pacific Islander Students [Public School] 2011-12,Asian or Asian/Pacific Islander Students [Public School] 2010-11,Hispanic Students [Public School] 2012-13,Hispanic Students [Public School] 2011-12,Hispanic Students [Public School] 2010-11,Black Students [Public School] 2012-13,Black Students [Public School] 2011-12,Black Students [Public School] 2010-11,White Students [Public School] 2012-13,White Students [Public School] 2011-12,White Students [Public School] 2010-11,Hawaiian Nat./Pacific Isl. Students [Public School] 2012-13,Hawaiian Nat./Pacific Isl. Students [Public School] 2011-12,Hawaiian Nat./Pacific Isl. Students [Public School] 2010-11,Two or More Races Students [Public School] 2012-13,Two or More Races Students [Public School] 2011-12,Two or More Races Students [Public School] 2010-11,Total Race/Ethnicity [Public School] 2012-13,Total Race/Ethnicity [Public School] 2011-12,Total Race/Ethnicity [Public School] 2010-11
REDLANDS EACADEMY,California,063207013458,†,†,†,†,†,†,†,†,†,2-No,†,†,2-No,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
REDLANDS EAST VALLEY HIGH,California,063207007268,3-High,3-High,3-High,9th Grade,9th Grade,7th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2268,2411,2641,852,–,797,196,–,268,1048,646,1065,†,†,†,3,2,0,2265,2409,2641,†,†,†,†,†,†,1152,1190,1276,1116,1221,1365,14,17,18,140,144,163,984,1026,1085,168,192,199,889,957,1116,14,19,13,59,56,47,2268,2411,2641
REDLANDS SENIOR HIGH,California,063207004946,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2392,2557,2840,970,–,1061,232,–,297,1202,406,1358,†,†,†,1,1,†,2391,2556,2840,†,†,†,†,†,†,1227,1274,1404,1165,1283,1436,9,15,17,458,475,513,822,886,1004,173,192,224,829,899,993,21,18,18,80,72,71,2392,2557,2840
REDONDO BEACH LEARNING ACADEMY,California,060003212165,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,13,16,18,8,13,1,1,–,2,9,13,3,†,†,†,†,†,†,13,16,18,†,†,†,†,†,†,9,8,11,4,8,7,0,0,0,0,1,1,9,6,9,2,2,1,2,7,7,0,0,0,0,0,0,13,16,18
REDONDO SHORES HIGH (CONTINUATION),California,060003202227,3-High,3-High,3-High,9th Grade,9th Grade,11th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,93,99,115,25,†,24,4,†,6,29,†,30,†,†,†,†,†,†,93,99,115,†,†,†,†,†,†,61,66,71,32,33,44,1,0,0,4,3,5,37,42,44,8,11,7,39,39,57,0,0,0,4,4,2,93,99,115
REDONDO UNION HIGH,California,060003206330,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2541,2499,2505,424,–,343,139,–,121,563,116,464,†,†,†,†,†,†,2541,2499,2505,†,†,†,†,†,†,1295,1274,1279,1246,1225,1226,11,10,11,327,336,322,650,652,647,235,200,195,1226,1234,1276,30,29,28,62,38,26,2541,2499,2505
REDWAY ELEMENTARY,California,063759006368,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,7th Grade,7th Grade,7th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,298,301,317,105,†,146,47,†,50,152,†,196,42,50,43,248,251,274,–,†,†,†,†,†,42,50,43,140,163,178,150,138,139,1,2,9,4,6,5,46,43,40,2,2,3,222,240,256,0,0,0,15,8,4,290,301,317
REDWOOD ACADEMY OF UKIAH,California,064030008520,3-High,3-High,3-High,7th Grade,7th Grade,7th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,154,149,158,57,65,63,16,0,22,73,65,85,†,†,†,55,56,59,99,93,99,†,†,†,†,†,†,72,68,80,82,81,78,2,3,3,12,9,7,38,38,34,0,0,2,87,94,104,1,2,0,14,3,8,154,149,158
REDWOOD COAST MONTESSORI,California,060300013192,1-Primary,†,†,Kindergarten,†,†,8th Grade,†,†,2-No,†,†,1-Yes,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,†,†,†,–,†,†,†,†,†,†,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†,–,†,†
REDWOOD CONSORTIUM FOR STUDENT SERVICES,California,063264012471,1-Primary,1-Primary,1-Primary,Prekindergarten,Prekindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,1-Yes,1-Yes,2-No,1-Yes,1-Yes,1-Yes,106,104,82,29,0,0,5,0,0,34,0,0,32,40,33,74,64,49,–,†,†,–,–,†,32,40,33,79,75,56,27,29,26,1,0,0,3,5,4,61,57,38,2,4,1,36,35,37,2,2,1,1,1,1,106,104,82
REDWOOD CONTINUATION HIGH,California,060780000744,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,136,150,140,31,0,11,5,0,12,36,0,23,†,†,†,†,†,†,136,150,140,†,†,†,†,†,†,86,98,89,50,52,51,0,0,1,12,8,9,52,54,41,12,14,17,51,56,58,2,3,3,7,15,11,136,150,140
REDWOOD ELEMENTARY,California,061392001601,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,654,672,702,651,†,544,0,†,82,651,†,626,82,96,79,572,576,623,–,†,†,†,†,†,82,96,79,315,339,355,339,333,347,1,1,0,7,7,8,614,621,642,9,12,17,20,25,31,3,6,4,0,0,0,654,672,702
REDWOOD ELEMENTARY,California,061407001614,1-Primary,1-Primary,1-Primary,Prekindergarten,Prekindergarten,Kindergarten,2nd Grade,2nd Grade,2nd Grade,1-Yes,1-Yes,2-No,1-Yes,1-Yes,1-Yes,450,422,436,292,†,242,49,†,65,341,†,307,162,146,171,288,276,265,–,†,†,–,–,†,162,146,171,236,228,227,214,194,209,2,3,4,2,5,6,193,178,182,2,6,5,227,213,218,0,0,0,24,17,21,450,422,436
REDWOOD ELEMENTARY,California,062145009564,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,1061,1021,1036,822,–,869,88,–,56,910,130,925,158,149,137,903,872,899,–,†,†,†,†,†,158,149,137,533,504,515,528,517,521,0,0,0,1,2,0,1030,995,1019,5,4,0,24,19,15,0,1,0,1,0,2,1061,1021,1036
REDWOOD ELEMENTARY,California,061077001198,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,471,503,444,188,†,155,42,†,45,230,†,200,25,59,55,446,444,389,–,†,†,†,†,†,25,59,55,235,270,236,236,233,208,62,65,54,9,8,4,59,58,41,3,5,2,325,361,335,1,1,1,12,5,7,471,503,444
REDWOOD HEIGHTS ELEMENTARY,California,062805004310,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,375,346,349,72,62,44,14,0,8,86,62,52,55,53,72,320,293,277,–,†,†,†,†,†,55,53,72,161,153,158,214,193,191,2,2,1,34,41,40,65,47,49,71,59,57,157,147,154,2,1,1,44,49,47,375,346,349
REDWOOD HIGH,California,063879006523,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1535,1456,1458,70,–,58,32,–,26,102,39,84,†,†,†,†,†,†,1535,1456,1458,†,†,†,†,†,†,786,749,728,749,707,730,0,0,0,80,85,88,141,121,109,23,27,32,1159,1110,1138,4,4,4,128,109,87,1535,1456,1458
REDWOOD HIGH,California,064116006803,3-High,3-High,4-Other,9th Grade,9th Grade,6th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,2023,2008,1942,807,†,788,86,†,71,893,†,859,†,†,†,†,†,0,2023,2008,1942,†,†,†,†,†,†,1005,1003,971,1018,1005,971,34,33,24,179,193,190,1177,1133,1110,47,51,48,566,574,552,1,3,5,19,21,13,2023,2008,1942
REDWOOD HIGH,California,063639006196,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,313,340,362,165,–,143,24,–,19,189,296,162,†,†,†,†,†,†,313,340,362,†,†,†,†,†,†,159,186,180,154,154,182,0,3,5,4,6,4,251,243,260,13,33,25,15,31,44,27,21,23,3,3,1,313,340,362
REDWOOD HIGH (CONTINUATION),California,060966508216,3-High,3-High,4-Other,9th Grade,9th Grade,11th Grade,12th Grade,12th Grade,11th Grade,2-No,2-No,2-No,2-No,2-No,2-No,–,–,1,–,–,0,–,–,0,–,–,0,†,†,†,†,†,†,–,–,1,†,†,†,†,†,†,†,–,0,†,–,1,–,–,0,–,–,0,–,–,0,–,–,1,–,–,0,–,–,0,–,–,0,–,–,1
REDWOOD MIDDLE,California,063591006150,2-Middle,2-Middle,2-Middle,6th Grade,6th Grade,6th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,857,870,906,12,15,9,0,0,3,12,15,12,†,†,†,857,870,906,–,†,†,†,†,†,†,†,†,432,436,447,425,434,459,1,1,2,492,491,488,36,29,29,1,2,1,286,295,331,0,0,0,41,52,55,857,870,906
REDWOOD MIDDLE,California,062664004028,2-Middle,2-Middle,2-Middle,6th Grade,6th Grade,6th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,991,999,997,379,–,354,103,–,72,482,67,426,†,†,†,991,999,997,–,†,†,†,†,†,†,†,†,502,489,501,489,510,496,6,5,4,18,17,18,642,632,613,3,2,3,280,303,319,3,2,1,39,38,39,991,999,997
REDWOOD MIDDLE,California,060964001022,2-Middle,2-Middle,2-Middle,6th Grade,6th Grade,6th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1048,1086,1057,159,†,140,68,†,39,227,†,179,†,†,†,1048,1086,1057,–,†,†,†,†,†,†,†,†,547,550,523,501,536,534,9,9,12,114,124,110,217,211,209,15,14,12,666,704,689,4,3,3,23,21,22,1048,1086,1057
REDWOOD PREPARATORY CHARTER,California,063333012857,†,1-Primary,†,†,Kindergarten,†,†,8th Grade,†,†,2-No,†,†,1-Yes,†,†,101,†,†,98,†,†,–,†,†,98,†,†,19,†,†,82,†,†,†,†,†,†,†,†,19,†,†,61,†,†,40,†,†,0,†,†,0,†,†,11,†,†,0,†,†,90,†,†,0,†,†,0,†,†,101,†
REDWOOD PREPARATORY CHARTER,California,060142012857,1-Primary,†,†,Kindergarten,†,†,8th Grade,†,†,2-No,†,†,1-Yes,†,†,125,†,†,13,†,†,22,†,†,35,†,†,20,†,†,105,†,†,–,†,†,†,†,†,20,†,†,72,†,†,53,†,†,0,†,†,0,†,†,17,†,†,1,†,†,105,†,†,0,†,†,2,†,†,125,†,†
REDWOOD SHORES ELEMENTARY,California,060453012574,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,426,347,265,14,–,9,1,–,0,15,–,9,93,59,64,333,288,201,–,†,†,†,†,†,93,59,64,206,174,131,220,173,134,1,1,1,160,129,96,31,21,16,12,9,5,195,162,138,2,1,1,25,24,8,426,347,265
REED ELEMENTARY,California,063216004976,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,2nd Grade,2nd Grade,2nd Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,536,507,479,9,7,9,0,0,0,9,7,9,175,168,150,361,339,329,–,†,†,†,†,†,175,168,150,279,247,248,257,260,231,2,1,1,37,43,40,19,17,17,4,6,3,463,420,416,1,1,1,10,19,1,536,507,479
REED ELEMENTARY,California,063459005734,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,513,497,498,87,–,128,20,–,26,107,99,154,104,98,82,409,399,416,–,†,†,†,†,†,104,98,82,277,258,251,236,239,247,3,2,1,33,34,41,174,168,160,14,15,21,240,230,225,1,3,2,48,45,48,513,497,498
REEDLEY HIGH,California,061970002374,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1942,1925,1877,1909,–,767,0,–,203,1909,24,970,†,†,†,†,†,†,1942,1925,1877,†,†,†,†,†,†,938,958,908,1004,967,969,8,9,8,47,50,52,1533,1518,1485,11,13,9,321,318,307,0,0,0,22,17,16,1942,1925,1877
REEDLEY MIDDLE COLLEGE HIGH,California,061970013141,3-High,†,†,9th Grade,†,†,12th Grade,†,†,2-No,†,†,2-No,†,†,20,†,†,3,†,†,0,†,†,3,†,†,†,†,†,†,†,†,20,†,†,†,†,†,†,†,†,9,†,†,11,†,†,0,†,†,0,†,†,19,†,†,0,†,†,1,†,†,0,†,†,0,†,†,20,†,†
REEDS CREEK ELEMENTARY,California,063225004979,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,118,138,139,61,–,70,10,–,14,71,57,84,12,18,11,106,120,128,–,†,†,†,†,†,12,18,11,58,64,63,60,74,76,8,7,8,0,0,1,5,4,3,3,2,2,100,123,124,1,1,1,1,1,0,118,138,139
REEF SUNSET MIDDLE,California,063227010227,2-Middle,2-Middle,2-Middle,7th Grade,7th Grade,6th Grade,8th Grade,8th Grade,9th Grade,2-No,2-No,2-No,2-No,2-No,2-No,383,333,510,374,–,507,0,–,0,374,89,507,†,†,†,383,333,508,–,†,2,†,†,†,†,†,†,204,180,263,179,153,247,0,0,0,9,7,9,367,315,481,2,1,3,5,10,17,0,0,0,0,0,0,383,333,510
REEF-SUNSET PRIMARY COMMUNITY DAY,California,063227008000,1-Primary,1-Primary,2-Middle,1st Grade,1st Grade,5th Grade,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,2-No,2-No,2-No,3,4,2,–,†,0,–,†,0,–,†,0,†,†,†,3,4,2,–,†,†,†,†,†,†,†,†,3,4,2,0,0,0,0,0,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2
REEF-SUNSET SECONDARY COMMUNITY DAY,California,063227007999,3-High,3-High,4-Other,7th Grade,7th Grade,7th Grade,12th Grade,12th Grade,10th Grade,2-No,2-No,2-No,2-No,2-No,2-No,7,8,11,4,5,8,0,–,0,4,5,8,†,†,†,2,4,5,5,4,6,†,†,†,†,†,†,7,7,8,0,1,3,0,0,0,0,0,0,7,7,10,0,0,0,0,1,1,0,0,0,0,0,0,7,8,11
REEMS (ERNESTINE C.) ACADEMY OF TECHNOLOGY AND ART,California,062805007941,1-Primary,1-Primary,4-Other,Kindergarten,Kindergarten,Kindergarten,8th Grade,8th Grade,9th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,317,359,216,242,–,200,10,–,13,252,200,213,36,38,2,281,321,214,–,†,0,†,†,†,36,38,2,119,146,81,198,213,135,0,0,0,0,0,2,48,47,38,200,198,173,1,3,0,0,1,0,68,110,3,317,359,216
REFUGIO HIGH,California,063585007361,3-High,3-High,3-High,9th Grade,9th Grade,10th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,23,27,42,11,–,17,2,–,0,13,14,17,†,†,†,†,†,†,23,27,42,†,†,†,†,†,†,15,20,26,8,7,16,1,0,0,0,0,0,15,16,24,1,1,1,6,10,16,0,0,0,0,0,1,23,27,42
REGENCY PARK ELEMENTARY,California,060133211730,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,865,866,801,329,–,357,56,–,100,385,484,457,179,180,158,686,686,643,–,†,†,†,†,†,179,180,158,440,441,414,425,425,387,7,6,2,169,187,172,239,227,206,185,196,152,214,208,219,24,21,14,27,21,36,865,866,801
REGINALD M. BENTON MIDDLE,California,062769002165,2-Middle,2-Middle,2-Middle,6th Grade,6th Grade,5th Grade,8th Grade,8th Grade,9th Grade,2-No,2-No,2-No,2-No,2-No,2-No,620,598,497,297,–,235,57,–,36,354,233,271,†,†,†,620,598,494,–,†,3,†,†,†,†,†,†,267,275,245,353,323,252,0,2,1,36,30,23,413,410,343,17,19,18,139,127,106,5,3,3,10,7,3,620,598,497
REID HIGH,California,062250002753,3-High,3-High,3-High,11th Grade,11th Grade,11th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,340,396,409,231,†,280,10,†,14,241,†,294,†,†,†,†,†,†,340,396,409,†,†,†,†,†,†,179,212,237,161,184,172,1,0,1,18,19,19,242,278,296,61,77,73,6,7,10,10,13,10,2,2,0,340,396,409
REIDY CREEK ELEMENTARY,California,061288011130,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,698,699,692,187,–,127,52,–,62,239,33,189,99,113,101,599,586,591,–,†,†,†,†,†,99,113,101,379,390,371,319,309,321,2,1,3,44,43,45,248,263,247,13,11,13,335,333,336,4,4,3,52,44,45,698,699,692
RENAISSANCE,California,060582007095,3-High,3-High,3-High,9th Grade,9th Grade,10th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,16,16,20,13,13,17,0,0,0,13,13,17,†,†,†,†,†,†,16,16,20,†,†,†,†,†,†,8,10,11,8,6,9,0,0,0,0,0,0,14,14,20,1,0,0,1,2,0,0,0,0,0,0,0,16,16,20
RENAISSANCE ACADEMY,California,060231011446,2-Middle,2-Middle,2-Middle,6th Grade,6th Grade,6th Grade,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,2-No,2-No,2-No,287,288,280,284,†,123,0,†,62,284,†,185,†,†,†,287,288,280,–,†,†,†,†,†,†,†,†,131,145,134,156,143,146,1,0,0,32,28,30,234,239,223,7,8,10,9,10,13,4,3,4,0,0,0,287,288,280
RENAISSANCE ARTS ACADEMY,California,062271011314,4-Other,4-Other,4-Other,6th Grade,6th Grade,6th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,349,329,321,139,326,143,88,–,70,227,326,213,†,†,†,190,197,212,159,132,109,†,†,†,†,†,†,143,133,134,206,196,187,3,3,2,24,22,23,204,180,171,27,29,34,90,94,90,1,1,1,0,0,0,349,329,321
RENAISSANCE AT MATHSON,California,060231013126,2-Middle,†,†,6th Grade,†,†,8th Grade,†,†,2-No,†,†,2-No,†,†,99,†,†,52,†,†,22,†,†,74,†,†,†,†,†,99,†,†,–,†,†,†,†,†,†,†,†,62,†,†,37,†,†,0,†,†,14,†,†,73,†,†,4,†,†,8,†,†,0,†,†,0,†,†,99,†,†
RENAISSANCE COMMUNITY DAY,California,069107808010,3-High,3-High,4-Other,7th Grade,7th Grade,4th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,260,273,145,201,–,94,4,–,2,205,46,96,†,†,†,6,9,3,254,264,142,†,†,†,†,†,†,166,174,91,94,99,54,2,1,0,3,5,1,181,192,90,64,61,48,6,11,4,2,1,1,2,2,1,260,273,145
RENAISSANCE COURT,California,069101407934,4-Other,4-Other,3-High,Kindergarten,Kindergarten,7th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,1-Yes,1-Yes,2-No,15,9,11,12,†,0,0,†,0,12,†,0,0,0,†,0,0,2,15,9,9,†,†,†,0,0,†,14,7,9,1,2,2,2,1,1,0,0,0,2,1,2,3,1,0,6,6,6,1,0,0,1,0,2,15,9,11
RENAISSANCE HIGH,California,063576006113,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,116,115,121,113,0,87,0,3,14,113,3,101,†,†,†,†,†,†,116,115,121,†,†,†,†,†,†,71,68,60,45,47,61,0,0,0,0,0,0,113,110,116,1,1,1,2,3,3,0,0,0,0,1,1,116,115,121
RENAISSANCE HIGH CONTINUATION,California,062949004548,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,199,176,183,160,–,135,9,–,13,169,–,148,†,†,†,†,†,†,199,176,183,†,†,†,†,†,†,135,127,120,64,49,63,1,0,0,2,2,2,186,162,166,0,0,1,9,12,14,1,0,0,0,0,0,199,176,183
RENAISSANCE HIGH SCHOOL FOR THE ARTS,California,062250008720,3-High,3-High,3-High,9th Grade,9th Grade,9th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,494,487,501,230,†,269,46,†,60,276,†,329,†,†,†,†,†,1,494,487,500,†,†,†,†,†,†,137,141,139,357,346,362,3,2,3,23,20,17,219,221,215,148,148,162,87,87,94,4,3,3,10,6,7,494,487,501
RENDER CONTINUATION HIGH,California,060001109064,3-High,3-High,3-High,9th Grade,9th Grade,11th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,–,–,1,–,–,0,–,–,0,–,–,0,†,†,†,†,†,†,–,–,1,†,†,†,†,†,†,†,–,0,†,–,1,–,–,0,–,–,0,–,–,0,–,–,0,–,–,1,–,–,0,–,–,0,–,–,1
RENU HOPE PRESCHOOL,California,060384013269,†,†,†,†,†,†,†,†,†,2-No,†,†,2-No,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
REPETTO ELEMENTARY,California,060015310944,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,8th Grade,8th Grade,8th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,835,799,758,358,†,339,134,†,74,492,†,413,79,71,73,756,728,685,–,†,†,†,†,†,79,71,73,441,418,388,394,381,370,3,1,1,437,436,406,324,295,275,7,5,4,33,42,49,3,3,3,28,17,20,835,799,758
RESCUE ELEMENTARY,California,063231004984,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,388,400,412,92,–,103,28,–,22,120,183,125,74,79,74,314,321,338,–,†,†,†,†,†,74,79,74,204,223,225,184,177,187,1,2,2,6,8,8,56,63,60,3,2,3,306,311,323,1,0,0,15,14,16,388,400,412
RESEDA ELEMENTARY,California,062271003300,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,5th Grade,5th Grade,5th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,407,419,472,169,†,387,11,†,43,180,†,430,67,63,78,340,356,394,–,†,†,†,†,†,67,63,78,210,217,242,197,202,230,0,1,1,40,47,49,342,358,387,10,7,15,15,5,18,0,0,2,0,1,0,407,419,472
RESEDA SENIOR HIGH,California,062271003301,3-High,3-High,3-High,9th Grade,9th Grade,8th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,1851,1962,2038,990,†,1235,128,†,144,1118,†,1379,†,†,†,†,†,0,1851,1962,2038,†,†,†,†,†,†,1023,1067,1136,828,895,902,6,10,11,158,171,177,1356,1439,1495,109,107,118,217,231,228,5,2,3,0,2,6,1851,1962,2038
RESNIK CAMP,California,069107812714,3-High,3-High,3-High,7th Grade,7th Grade,7th Grade,12th Grade,12th Grade,12th Grade,2-No,2-No,2-No,2-No,2-No,2-No,–,–,74,–,–,47,–,–,0,–,–,47,†,†,†,–,–,0,–,–,74,†,†,†,†,†,†,†,–,74,†,–,0,–,–,0,–,–,1,–,–,53,–,–,18,–,–,0,–,–,0,–,–,2,–,–,74
REVERE (PAUL) ELEMENTARY,California,060261000164,1-Primary,1-Primary,1-Primary,Kindergarten,Kindergarten,Kindergarten,6th Grade,6th Grade,6th Grade,2-No,2-No,2-No,1-Yes,1-Yes,1-Yes,909,942,936,766,†,776,79,†,118,845,†,894,124,146,118,785,796,818,–,†,†,†,†,†,124,146,118,463,490,492,446,452,444,0,0,1,20,14,11,853,886,877,7,6,16,21,30,24,6,4,4,2,2,3,909,942,936
