Id,Id2,Geography,Total:,Income in 1999 below poverty level:,Income in 1999 below poverty level: - Under 5 years,Income in 1999 below poverty level: - 5 years,Income in 1999 below poverty level: - 6 to 11 years,Income in 1999 below poverty level: - 12 to 17 years,Income in 1999 below poverty level: - 18 to 64 years,Income in 1999 below poverty level: - 65 to 74 years,Income in 1999 below poverty level: - 75 years and over,Income in 1999 at or above poverty level:,Income in 1999 at or above poverty level: - Under 5 years,Income in 1999 at or above poverty level: - 5 years,Income in 1999 at or above poverty level: - 6 to 11 years,Income in 1999 at or above poverty level: - 12 to 17 years,Income in 1999 at or above poverty level: - 18 to 64 years,Income in 1999 at or above poverty level: - 65 to 74 years,Income in 1999 at or above poverty level: - 75 years and over
8600000US904HH,904HH,ZCTA5 904HH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US90501,90501,ZCTA5 90501,40234,6134,747,127,982,612,3424,120,122,34100,2433,469,3146,3043,22266,1672,1071
8600000US90502,90502,ZCTA5 90502,16364,1733,168,9,221,161,1063,50,61,14631,969,208,1137,1106,9672,1030,509
8600000US90503,90503,ZCTA5 90503,41392,2460,97,58,229,208,1467,169,232,38932,2165,508,3141,2974,25117,2848,2179
8600000US90504,90504,ZCTA5 90504,31576,2744,178,52,255,324,1506,212,217,28832,1701,357,2377,2425,18180,2274,1518
8600000US90505,90505,ZCTA5 90505,34517,1654,73,15,80,164,1063,120,139,32863,1902,394,2725,2594,20177,2696,2375
8600000US90601,90601,ZCTA5 90601,31845,2889,305,75,365,323,1523,126,172,28956,2139,420,2600,2154,18277,1771,1595
8600000US90602,90602,ZCTA5 90602,25288,4195,633,137,623,365,2117,121,199,21093,1853,329,2073,1849,12856,1079,1054
8600000US90603,90603,ZCTA5 90603,18987,1050,36,9,89,151,585,45,135,17937,1136,180,1704,1605,10288,1462,1562
8600000US90604,90604,ZCTA5 90604,37666,3494,321,66,473,333,2015,188,98,34172,2607,622,3646,3168,20570,2162,1397
8600000US90605,90605,ZCTA5 90605,38097,4534,459,98,664,586,2458,137,132,33563,2614,636,4031,3233,19998,1624,1427
8600000US90606,90606,ZCTA5 90606,31319,3535,350,76,419,317,2129,170,74,27784,2302,450,3280,2537,16461,1541,1213
8600000US90620,90620,ZCTA5 90620,44021,3021,195,57,379,367,1746,132,145,41000,2735,605,4231,3493,25600,2695,1641
8600000US90621,90621,ZCTA5 90621,33237,5510,554,114,747,727,3202,92,74,27727,2622,559,3020,1950,17531,1128,917
8600000US90623,90623,ZCTA5 90623,15163,737,31,14,66,132,439,50,5,14426,745,181,1104,1338,9513,1126,419
8600000US90630,90630,ZCTA5 90630,47443,2877,253,76,313,290,1678,129,138,44566,2486,646,4291,4372,27996,2895,1880
8600000US90631,90631,ZCTA5 90631,66578,7908,883,235,1255,843,4169,141,382,58670,4151,1054,5730,4748,35913,3946,3128
8600000US90638,90638,ZCTA5 90638,45780,2579,124,32,303,338,1492,97,193,43201,2590,643,4282,3944,25851,3510,2381
8600000US90640,90640,ZCTA5 90640,61773,10468,1243,291,1414,1424,5297,488,311,51305,3777,632,4877,3919,31331,3753,3016
8600000US90650,90650,ZCTA5 90650,101571,12058,1274,271,1808,1530,6499,363,313,89513,7282,1693,10080,8269,54016,4721,3452
8600000US90660,90660,ZCTA5 90660,62274,7842,807,183,1005,1128,4096,370,253,54432,4194,1099,5542,5163,32157,3868,2409
8600000US90670,90670,ZCTA5 90670,15338,1697,99,35,205,193,1019,52,94,13641,1046,245,1376,1282,7713,1155,824
8600000US90680,90680,ZCTA5 90680,28850,4931,546,139,685,451,2770,147,193,23919,1866,429,2315,2110,14865,1302,1032
8600000US906HH,906HH,ZCTA5 906HH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US90701,90701,ZCTA5 90701,15893,1822,158,68,194,131,1140,81,50,14071,962,220,1248,1346,8664,879,752
8600000US90703,90703,ZCTA5 90703,51360,2571,106,29,244,357,1575,196,64,48789,2249,618,4275,4582,32427,2951,1687
8600000US90704,90704,ZCTA5 90704,3634,402,55,16,45,20,252,5,9,3232,210,42,324,361,2001,165,129
8600000US90706,90706,ZCTA5 90706,72229,11385,1439,330,1769,1243,6020,306,278,60844,5220,1081,6549,5144,37619,2659,2572
8600000US90710,90710,ZCTA5 90710,24891,4186,452,99,760,427,2169,177,102,20705,1466,422,1846,1592,13085,1317,977
8600000US90712,90712,ZCTA5 90712,30016,1995,148,23,275,222,1034,38,255,28021,1802,395,2675,2314,17211,1797,1827
8600000US90713,90713,ZCTA5 90713,27512,1129,114,26,108,85,648,66,82,26383,1733,429,2478,2273,16069,1748,1653
8600000US90715,90715,ZCTA5 90715,20913,2646,283,65,405,327,1404,92,70,18267,1306,298,1744,1833,11845,864,377
8600000US90716,90716,ZCTA5 90716,14686,3224,478,118,540,338,1619,92,39,11462,991,235,1331,1327,6820,478,280
8600000US90717,90717,ZCTA5 90717,20908,2340,226,73,312,207,1262,109,151,18568,1450,375,1624,1059,12033,1102,925
8600000US90720,90720,ZCTA5 90720,20635,756,89,21,39,47,425,101,34,19879,1021,253,1854,1933,11808,1721,1289
8600000US90723,90723,ZCTA5 90723,54781,12012,1633,424,2082,1451,6136,159,127,42769,4271,1146,5215,3970,25761,1446,960
8600000US90731,90731,ZCTA5 90731,56429,11570,1449,312,1857,1197,6154,316,285,44859,3035,723,4015,3305,29089,2535,2157
8600000US90732,90732,ZCTA5 90732,20925,1236,49,3,154,185,740,36,69,19689,1110,209,1591,1111,12359,1825,1484
8600000US90740,90740,ZCTA5 90740,24013,1310,65,13,37,85,645,120,345,22703,712,210,1177,1047,11185,3087,5285
8600000US90742,90742,ZCTA5 90742,1116,74,9,0,0,0,65,0,0,1042,33,5,19,16,819,90,60
8600000US90743,90743,ZCTA5 90743,139,0,0,0,0,0,0,0,0,139,15,0,15,0,85,6,18
8600000US90744,90744,ZCTA5 90744,52888,14382,1897,531,2637,1586,7372,232,127,38506,3438,883,4119,3494,23709,1571,1292
8600000US90745,90745,ZCTA5 90745,54863,4949,402,78,558,500,2923,256,232,49914,3348,811,5128,4499,30812,3434,1882
8600000US90746,90746,ZCTA5 90746,24587,1990,124,17,235,224,1132,145,113,22597,1175,361,2052,2133,14358,1911,607
8600000US907HH,907HH,ZCTA5 907HH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US907XX,907XX,ZCTA5 907XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US90802,90802,ZCTA5 90802,38058,10563,1087,281,1273,982,6439,291,210,27495,1638,267,1750,1123,20156,1249,1312
8600000US90803,90803,ZCTA5 90803,31041,1651,31,0,0,73,1411,52,84,29390,960,233,986,832,22604,1976,1799
8600000US90804,90804,ZCTA5 90804,42465,12767,1318,300,1810,1578,7485,157,119,29698,2409,633,2772,2179,20181,862,662
