cdscode,zip_5,Id,Id2,Geography,Estimate; Total:,total_below_poverty,under_5_below_poverty,age_5_below_poverty,age_6_to_11_below_poverty,age_12_to_17_below_poverty,age_18_65_below_poverty,total_above_poverty,under_5_above_poverty,age_5_above_poverty,age_6_to_11_above_poverty,age_12_to_17_above_poverty,age_18_65_above_poverty,year
1612596117568,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
1612596117568,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
7617960132100,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
7617960132100,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
7617960132100,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
7617960132100,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
7617960132100,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
7617960132100,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
7617960132118,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
7617960132118,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
7617960132118,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
7617960132118,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
7617960132118,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
7617960132118,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
19101990109660,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
19101990109660,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
19101990109660,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
19101990109660,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
19101990109660,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
19101990109660,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
19647330114884,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
19647330114884,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
19647330114884,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
19647330114884,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
19647330114884,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
19647330114884,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
19647330117960,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
19647330117960,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
19647330117960,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
19647330117960,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
19647330117960,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
19647330117960,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
19647330120477,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
19647330120477,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
19647330120477,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
19647330120477,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
19647330120477,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
19647330120477,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
19647330122614,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
19647330122614,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
19647330122614,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
19647330122614,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
19647330122614,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
19647330122614,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
19647330122622,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
19647330122622,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
19647330122622,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
19647330122622,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
19647330122622,94606,8600000US94606,94606,ZCTA5 94606,35503,8927,739,225,766,992,5444,26576,1306,217,1141,1725,19079,2011
19647330122622,94606,8600000US94606,94606,ZCTA5 94606,41576,9841,794,222,1530,1142,5657,31735,1827,378,2375,2070,21843,2000
19647330122721,94606,8600000US94606,94606,ZCTA5 94606,37881,9252,466,120,812,864,6227,28629,1582,239,1496,1433,20788,2015
19647330122721,94606,8600000US94606,94606,ZCTA5 94606,36829,10156,526,156,892,1088,6597,26673,1415,257,1131,1355,19510,2014
19647330122721,94606,8600000US94606,94606,ZCTA5 94606,35959,9708,509,200,927,1140,6089,26251,1438,228,1181,1382,19021,2013
19647330122721,94606,8600000US94606,94606,ZCTA5 94606,35726,9038,633,188,734,1088,5513,26688,1372,187,1115,1595,19445,2012
