Id,Id2,Geography,Estimate; Total:,total_below_poverty,under_5_below_poverty,age_5_below_poverty,age_6_to_11_below_poverty,age_12_to_17_below_poverty,age_18_65_below_poverty,total_above_poverty,under_5_above_poverty,age_5_above_poverty,age_6_to_11_above_poverty,age_12_to_17_above_poverty,age_18_65_above_poverty
8600000US95345,95345,ZCTA5 95345,248,25,17,0,0,0,8,223,9,0,13,0,166
8600000US95346,95346,ZCTA5 95346,970,50,0,0,0,0,50,920,52,0,0,36,523
8600000US95348,95348,ZCTA5 95348,31257,6984,902,207,873,736,3893,24273,2088,331,2252,2483,14949
8600000US95350,95350,ZCTA5 95350,49367,10757,1396,205,1432,1241,5903,38610,1899,423,2306,3019,24377
8600000US95351,95351,ZCTA5 95351,46332,15904,2101,473,2502,1823,8215,30428,2229,351,2779,2829,19070
8600000US95354,95354,ZCTA5 95354,23780,6517,493,107,797,753,3891,17263,1357,146,1548,1422,10811
8600000US95355,95355,ZCTA5 95355,58626,8064,972,212,995,1079,4114,50562,3351,682,3482,4733,32097
8600000US95356,95356,ZCTA5 95356,31138,3770,356,69,413,547,2175,27368,1695,302,1495,2438,18212
8600000US95357,95357,ZCTA5 95357,11042,1552,73,80,197,244,879,9490,502,163,798,892,5965
8600000US95358,95358,ZCTA5 95358,30609,6708,894,156,959,869,3640,23901,1565,454,1802,2766,14971
8600000US95360,95360,ZCTA5 95360,11524,2980,413,0,556,336,1465,8544,680,46,853,1062,5218
8600000US95361,95361,ZCTA5 95361,32205,4675,571,52,392,720,2413,27530,1660,414,2594,2685,16407
8600000US95363,95363,ZCTA5 95363,25494,3958,381,117,576,638,2124,21536,1911,348,2026,2343,13035
8600000US95364,95364,ZCTA5 95364,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US95365,95365,ZCTA5 95365,5290,1674,232,0,225,231,928,3616,192,72,258,309,2507
8600000US95366,95366,ZCTA5 95366,16322,1429,166,102,229,147,708,14893,1003,224,1530,1625,8516
